Unnamed: 0,A1,A2,A3
0,1,1,1
1,0.0,0.0,1.0
2,0,1,1
3,0.0,1.0,1.0
4,0,1,1
5,0.0,0.0,1.0
6,1,1,1
7,0.0,0.0,1.0
8,0,0,1
9,0.0,0.0,1.0
10,0,0,1
11,0.0,1.0,1.0
12,0,0,1
13,0.0,1.0,1.0
14,0,1,1
15,0.0,1.0,1.0
16,0,1,1
17,0.0,1.0,0.0
18,0,0,1
19,0.0,0.0,0.0
20,0,1,1
21,0.0,1.0,1.0
22,0,1,0
23,0.0,1.0,1.0
24,0,0,1
25,0.0,0.0,1.0
26,0,1,1
27,1.0,1.0,1.0
28,0,0,1
29,0.0,0.0,0.0
30,1,0,1
31,0.0,1.0,0.0
32,0,1,1
33,0.0,0.0,1.0
34,1,1,1
35,0.0,0.0,0.0
36,1,0,1
37,0.0,1.0,1.0
38,1,0,1
39,1.0,0.0,1.0
40,0,1,1
41,0.0,0.0,0.0
42,0,0,1
43,0.0,1.0,0.0
44,0,0,0
45,0.0,1.0,1.0
46,0,1,1
47,0.0,1.0,1.0
48,0,0,1
49,0.0,1.0,1.0
50,1,1,1
51,1.0,1.0,1.0
52,0,0,1
53,0.0,0.0,0.0
54,0,0,1
55,0.0,0.0,1.0
56,0,0,1
57,1.0,1.0,1.0
58,0,1,1
59,0.0,1.0,0.0
60,0,0,1
61,0.0,0.0,1.0
62,1,0,1
63,0.0,0.0,1.0
64,0,0,1
65,0.0,1.0,0.0
66,0,1,1
67,0.0,0.0,0.0
68,0,0,1
69,0.0,1.0,1.0
70,0,1,1
71,0.0,1.0,0.0
72,0,1,1
73,0.0,1.0,1.0
74,0,1,1
75,0.0,1.0,0.0
76,0,1,1
77,0.0,0.0,1.0
78,0,1,1
79,0.0,0.0,1.0
80,0,1,1
81,1.0,0.0,1.0
82,0,1,1
83,0.0,0.0,0.0
84,0,1,1
85,0.0,1.0,0.0
86,0,0,1
87,0.0,1.0,1.0
88,0,1,1
89,0.0,0.0,0.0
90,0,1,1
91,0.0,0.0,1.0
92,0,0,1
93,1.0,1.0,1.0
94,0,0,1
95,0.0,1.0,1.0
96,1,0,1
97,0.0,0.0,1.0
98,0,1,1
99,0.0,1.0,1.0
100,0,0,0
101,0.0,1.0,0.0
102,0,1,0
103,0.0,0.0,1.0
104,0,0,1
105,0.0,0.0,1.0
106,1,0,1
107,0.0,1.0,1.0
108,0,1,1
109,0.0,1.0,1.0
110,0,0,1
111,0.0,0.0,0.0
112,0,0,1
113,0.0,1.0,1.0
114,1,0,1
115,0.0,1.0,1.0
116,0,1,1
117,0.0,0.0,1.0
118,0,0,1
119,1.0,1.0,1.0
120,1,0,1
121,0.0,1.0,0.0
122,0,0,1
123,0.0,1.0,0.0
124,0,0,1
125,1.0,1.0,1.0
126,0,0,1
127,0.0,1.0,1.0
128,0,1,1
129,0.0,1.0,1.0
130,0,0,1
131,0.0,1.0,1.0
132,0,1,1
133,1.0,0.0,1.0
134,1,1,1
135,0.0,0.0,1.0
136,1,1,1
137,0.0,1.0,1.0
138,0,1,1
139,0.0,1.0,1.0
140,0,0,1
141,0.0,0.0,1.0
142,0,0,1
143,0.0,0.0,1.0
144,1,1,1
145,0.0,0.0,1.0
146,0,0,0
147,1.0,1.0,1.0
148,0,1,1
149,1.0,1.0,1.0
150,0,1,1
151,1.0,0.0,0.0
152,0,1,1
153,1.0,1.0,1.0
154,0,1,1
155,0.0,0.0,0.0
156,0,1,0
157,1.0,0.0,1.0
158,1,1,1
159,1.0,0.0,1.0
160,0,0,0
161,1.0,1.0,1.0
162,0,0,1
163,0.0,1.0,1.0
164,0,0,1
165,0.0,1.0,1.0
166,0,1,1
167,0.0,1.0,1.0
168,0,0,1
