"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
"ID1",0,1,1,0,1,1,0,1,1,1
"ID2",0,0,1,0,0,0,1,1,0,1
"ID3",1,0,0,0,1,0,0,0,0,0
"ID4",0,1,0,1,1,1,1,0,0,0
"ID5",0,0,1,0,0,0,1,1,0,0
"ID6",1,1,1,1,1,0,1,1,1,0
"ID7",0,0,1,1,0,1,1,1,0,1
"ID8",1,1,1,0,0,0,0,0,1,0
"ID9",0,1,1,0,0,0,0,0,1,0
"ID10",0,1,1,0,1,1,1,1,1,0
"ID11",0,1,1,1,1,1,1,0,1,0
"ID12",1,0,0,0,1,0,0,0,0,0
"ID13",1,1,1,1,1,1,1,0,1,0
"ID14",1,1,1,0,1,1,0,1,1,0
"ID15",0,1,1,1,0,0,1,0,0,0
"ID16",0,1,0,1,0,1,0,1,1,0
"ID17",0,0,0,1,0,0,0,0,0,1
"ID18",1,0,0,1,1,1,1,0,1,0
"ID19",0,0,1,0,0,1,1,0,0,0
"ID20",1,0,0,1,0,0,0,1,1,1
"ID21",0,0,1,1,1,0,0,0,0,0
"ID22",0,0,1,0,0,0,1,0,1,0
"ID23",0,1,0,0,1,1,0,1,1,1
"ID24",0,1,1,1,1,0,0,1,1,1
"ID25",1,0,0,0,0,0,0,0,0,0
"ID26",0,0,0,0,0,1,0,0,0,1
"ID27",1,0,1,1,1,0,1,1,1,1
"ID28",0,0,0,1,0,0,0,1,0,1
"ID29",0,0,1,0,0,0,1,0,0,0
"ID30",0,1,1,0,0,0,1,0,0,0
"ID31",0,0,1,1,0,0,1,0,0,0
"ID32",0,0,1,0,1,0,1,0,0,0
"ID33",0,0,0,0,0,0,1,0,0,0
"ID34",0,0,1,0,1,1,1,1,1,1
"ID35",0,0,0,0,0,1,0,0,0,1
"ID36",1,1,1,0,0,1,1,0,1,0
"ID37",1,1,1,0,1,0,0,0,1,0
"ID38",1,1,1,1,0,1,1,1,0,1
"ID39",0,1,0,0,1,0,0,1,1,0
"ID40",0,0,1,1,0,1,1,1,1,1
"ID41",0,0,0,0,0,0,1,0,0,0
"ID42",0,0,1,1,0,0,0,0,1,0
"ID43",0,0,0,1,1,0,0,1,0,0
"ID44",1,0,1,0,0,1,1,0,1,0
"ID45",0,0,1,0,0,0,0,1,1,1
"ID46",0,0,0,1,1,1,0,0,0,0
"ID47",0,1,0,0,1,1,1,1,1,0
"ID48",1,0,0,1,0,1,1,0,0,1
"ID49",1,1,1,1,1,1,0,1,0,0
"ID50",0,1,1,0,1,1,1,0,1,0
