"","A1","A2","A3"
"ID1",0,0,1
"ID2",0,1,1
"ID3",0,0,0
"ID4",0,0,1
"ID5",0,1,1
"ID6",0,0,0
"ID7",0,1,1
"ID8",0,1,1
"ID9",0,1,1
"ID10",0,1,1
"ID11",0,0,0
"ID12",0,0,1
"ID13",0,0,1
"ID14",0,1,1
"ID15",0,0,1
"ID16",1,1,1
"ID17",1,0,0
"ID18",0,1,1
"ID19",0,1,1
"ID20",0,1,1
"ID21",0,1,1
"ID22",1,1,1
"ID23",0,0,1
"ID24",0,1,1
"ID25",0,0,0
"ID26",0,0,1
"ID27",0,1,1
"ID28",0,1,1
"ID29",0,0,1
"ID30",0,0,1
"ID31",0,0,0
"ID32",0,1,1
"ID33",1,1,1
"ID34",0,1,1
"ID35",0,1,1
"ID36",0,1,1
"ID37",1,1,1
"ID38",0,1,1
"ID39",0,1,1
"ID40",0,0,0
"ID41",0,1,1
"ID42",0,1,0
"ID43",0,1,1
"ID44",1,0,1
"ID45",0,0,0
"ID46",1,0,1
"ID47",0,0,1
"ID48",1,1,1
"ID49",0,0,1
"ID50",0,1,1
"ID51",0,1,1
"ID52",0,0,1
"ID53",0,1,1
"ID54",0,0,1
"ID55",0,1,1
"ID56",0,0,1
"ID57",0,0,1
"ID58",0,1,1
"ID59",0,1,1
"ID60",0,1,1
"ID61",0,1,1
"ID62",0,1,1
"ID63",0,1,1
"ID64",0,0,1
"ID65",0,0,1
"ID66",0,0,1
"ID67",0,0,1
"ID68",1,1,0
"ID69",0,1,1
"ID70",0,0,1
"ID71",0,1,1
"ID72",0,1,1
"ID73",0,0,1
"ID74",0,0,1
"ID75",0,1,1
"ID76",0,1,1
"ID77",0,0,1
"ID78",0,1,1
"ID79",1,0,1
"ID80",0,0,1
"ID81",0,1,1
"ID82",0,1,0
"ID83",0,1,1
"ID84",0,1,0
"ID85",0,1,1
"ID86",1,1,1
"ID87",1,1,0
"ID88",0,0,1
"ID89",0,1,1
"ID90",1,0,1
"ID91",0,0,1
"ID92",0,1,1
"ID93",0,0,1
"ID94",0,1,1
"ID95",1,1,1
"ID96",0,0,1
"ID97",0,0,1
"ID98",0,1,0
"ID99",0,1,1
"ID100",1,0,1
"ID101",0,1,1
"ID102",0,0,1
"ID103",0,1,1
"ID104",0,0,1
"ID105",0,1,1
"ID106",0,0,1
"ID107",0,0,1
"ID108",1,0,1
"ID109",0,1,1
"ID110",0,1,1
"ID111",0,1,1
"ID112",0,0,1
"ID113",0,0,1
"ID114",0,0,1
"ID115",1,1,1
"ID116",0,0,1
"ID117",0,0,0
"ID118",0,0,1
"ID119",0,0,1
"ID120",0,1,0
"ID121",0,1,1
"ID122",0,0,0
"ID123",0,0,1
"ID124",0,1,1
"ID125",0,0,1
"ID126",0,0,1
"ID127",0,1,1
"ID128",0,0,0
"ID129",0,1,1
"ID130",1,0,1
"ID131",0,1,1
