Unnamed: 0,A1,A2,A3
0,0,0,1
1,0.0,1.0,1.0
2,0,0,1
3,0.0,1.0,1.0
4,1,0,1
5,0.0,1.0,1.0
6,0,0,0
7,0.0,0.0,1.0
8,0,1,1
9,1.0,0.0,1.0
10,0,1,1
11,1.0,1.0,1.0
12,0,1,1
13,0.0,1.0,1.0
14,0,0,1
15,0.0,0.0,0.0
16,0,1,1
17,0.0,0.0,1.0
18,0,0,0
19,0.0,1.0,1.0
20,0,1,1
21,0.0,0.0,1.0
22,0,1,1
23,0.0,1.0,1.0
24,0,1,1
25,0.0,1.0,0.0
26,0,0,0
27,0.0,0.0,0.0
28,0,1,1
29,0.0,1.0,0.0
30,0,0,1
31,0.0,0.0,0.0
32,0,0,0
33,0.0,1.0,0.0
34,0,1,1
35,1.0,0.0,1.0
36,0,1,1
37,0.0,0.0,1.0
38,0,1,1
39,0.0,0.0,1.0
40,0,1,1
41,0.0,0.0,1.0
42,0,1,0
43,1.0,1.0,1.0
44,0,1,1
45,0.0,0.0,1.0
46,0,1,1
47,0.0,0.0,0.0
48,0,0,1
49,0.0,0.0,1.0
