"","A1","A2","A3"
"ID1",0,1,0
"ID2",0,1,1
"ID3",1,1,1
"ID4",0,1,1
"ID5",0,0,1
"ID6",0,0,0
"ID7",0,1,1
"ID8",0,1,1
"ID9",0,0,1
"ID10",0,0,1
"ID11",1,1,1
"ID12",0,0,1
"ID13",1,1,1
"ID14",0,1,0
"ID15",0,1,0
"ID16",1,1,1
"ID17",1,0,1
"ID18",0,0,1
"ID19",0,1,1
"ID20",0,1,1
"ID21",0,0,1
"ID22",0,0,1
"ID23",0,0,0
"ID24",0,0,1
"ID25",0,0,0
"ID26",0,1,1
"ID27",1,1,1
"ID28",1,1,1
"ID29",0,0,1
"ID30",0,1,1
"ID31",0,1,1
"ID32",0,1,1
"ID33",0,1,1
"ID34",0,1,1
"ID35",0,0,0
"ID36",0,0,0
"ID37",0,1,1
"ID38",1,1,1
"ID39",0,1,1
"ID40",0,0,1
"ID41",0,1,0
"ID42",0,1,1
"ID43",0,1,1
"ID44",0,1,1
"ID45",0,0,1
"ID46",0,0,1
"ID47",0,1,1
"ID48",1,1,1
"ID49",0,0,1
"ID50",0,1,1
"ID51",1,1,1
"ID52",1,1,1
"ID53",0,0,0
"ID54",0,0,1
"ID55",0,1,1
"ID56",0,1,0
"ID57",0,0,1
"ID58",0,1,1
"ID59",0,1,1
"ID60",0,1,0
"ID61",0,1,1
"ID62",0,1,1
"ID63",0,1,1
"ID64",0,0,0
"ID65",0,0,1
"ID66",0,1,0
"ID67",0,0,1
"ID68",0,1,1
"ID69",0,0,1
"ID70",0,0,1
"ID71",0,0,0
"ID72",0,1,1
"ID73",1,1,1
"ID74",0,0,1
"ID75",0,0,1
"ID76",0,0,1
"ID77",0,1,0
"ID78",0,0,0
"ID79",1,0,1
"ID80",0,1,1
"ID81",0,1,1
"ID82",0,0,1
"ID83",0,1,1
"ID84",0,0,1
"ID85",1,1,1
"ID86",0,1,1
"ID87",0,0,1
"ID88",0,1,1
"ID89",0,1,1
"ID90",0,1,1
"ID91",0,1,1
"ID92",0,1,1
"ID93",0,1,1
"ID94",0,0,1
"ID95",0,0,1
"ID96",0,0,1
"ID97",1,0,1
"ID98",0,0,1
"ID99",0,0,1
"ID100",1,1,1
