"","A1","A2","A3","A4","A5"
"ID1",0,0,1,1,1
"ID2",1,0,0,1,1
"ID3",0,0,0,0,0
"ID4",0,0,1,1,1
"ID5",0,0,0,0,1
"ID6",0,0,0,0,0
"ID7",0,1,1,1,1
"ID8",0,0,0,1,1
"ID9",1,1,0,1,1
"ID10",0,0,0,1,1
"ID11",0,0,0,0,1
"ID12",0,0,0,0,1
"ID13",0,1,1,1,0
"ID14",0,1,1,1,1
"ID15",0,0,0,1,1
"ID16",0,0,0,0,1
"ID17",0,0,0,0,1
"ID18",1,0,1,1,1
"ID19",0,0,0,1,1
"ID20",0,0,1,0,1
"ID21",1,0,0,1,1
"ID22",0,0,0,0,1
"ID23",0,0,0,0,0
"ID24",0,0,1,1,1
"ID25",0,0,1,1,1
"ID26",1,0,0,0,1
"ID27",1,0,1,1,1
"ID28",0,0,1,0,0
"ID29",1,0,0,1,1
"ID30",0,0,0,0,1
"ID31",0,0,0,1,1
"ID32",0,1,0,0,1
"ID33",0,0,0,0,1
"ID34",0,0,0,1,1
"ID35",0,0,1,1,1
"ID36",0,0,1,0,1
"ID37",0,0,1,1,0
"ID38",0,0,1,1,0
"ID39",0,1,0,1,0
"ID40",0,0,1,1,0
"ID41",0,1,0,0,1
"ID42",1,0,1,1,1
"ID43",0,0,1,1,1
"ID44",1,0,0,1,1
"ID45",0,0,1,1,1
"ID46",0,0,1,1,1
"ID47",0,0,0,0,1
"ID48",0,0,1,0,0
"ID49",0,0,1,0,1
"ID50",0,0,0,0,0
"ID51",0,0,1,1,1
"ID52",0,0,1,0,1
"ID53",0,1,0,1,1
"ID54",1,0,1,1,1
"ID55",0,0,1,1,1
"ID56",1,0,1,1,1
"ID57",1,1,0,0,1
"ID58",0,0,0,0,0
"ID59",1,0,0,1,1
"ID60",0,0,0,1,1
"ID61",0,1,0,1,1
"ID62",0,0,0,1,1
"ID63",0,0,0,0,1
"ID64",0,0,0,1,0
"ID65",0,0,1,0,1
"ID66",0,0,1,0,1
"ID67",0,0,0,0,1
"ID68",0,0,1,1,1
"ID69",0,1,0,1,1
"ID70",0,0,0,0,1
"ID71",0,0,1,1,1
"ID72",0,0,1,0,1
"ID73",0,0,0,0,1
"ID74",0,1,1,1,1
"ID75",0,0,0,1,1
"ID76",0,0,1,1,1
"ID77",0,1,0,0,1
"ID78",0,0,0,1,1
"ID79",0,0,0,1,1
"ID80",0,1,0,1,0
"ID81",0,1,1,1,1
"ID82",1,0,0,0,1
"ID83",0,0,1,1,1
"ID84",0,1,0,0,0
"ID85",0,0,0,0,1
"ID86",0,0,1,1,0
"ID87",0,0,1,1,1
"ID88",0,0,0,1,1
"ID89",1,1,1,1,1
