Unnamed: 0,A1,A2,A3
0,0,1,1
1,0.0,1.0,1.0
2,0.0,0.0,1.0
3,0,1,1
4,1.0,0.0,1.0
5,0.0,1.0,1.0
6,0,1,1
7,0.0,1.0,1.0
8,1.0,1.0,1.0
9,0,1,1
10,0.0,0.0,1.0
11,0.0,0.0,1.0
12,0,1,1
13,0.0,1.0,1.0
14,0.0,0.0,1.0
15,0,0,1
16,0.0,0.0,1.0
17,0.0,0.0,0.0
18,0,1,1
19,0.0,0.0,1.0
20,0.0,0.0,1.0
21,0,1,1
22,0.0,1.0,1.0
23,0.0,1.0,1.0
24,0,1,1
25,0.0,1.0,0.0
26,0.0,0.0,1.0
27,0,1,1
28,1.0,1.0,1.0
29,0.0,1.0,1.0
30,0,0,1
31,0.0,1.0,1.0
32,0.0,1.0,0.0
33,0,0,0
34,1.0,1.0,1.0
35,0.0,0.0,1.0
36,0,0,1
37,0.0,0.0,1.0
38,0.0,1.0,1.0
39,0,0,1
40,1.0,1.0,1.0
41,0.0,1.0,0.0
42,1,0,1
43,0.0,0.0,1.0
44,0.0,1.0,1.0
45,0,0,1
46,0.0,0.0,1.0
47,0.0,0.0,1.0
48,0,1,1
49,0.0,0.0,1.0
50,0.0,1.0,0.0
51,0,1,1
52,0.0,0.0,1.0
53,1.0,0.0,0.0
54,0,0,1
55,0.0,1.0,0.0
56,0.0,0.0,0.0
57,0,0,1
58,0.0,1.0,1.0
59,1.0,1.0,1.0
60,0,1,1
61,1.0,1.0,1.0
62,0.0,1.0,1.0
63,0,0,1
64,0.0,0.0,0.0
65,0.0,1.0,1.0
66,0,0,1
67,0.0,1.0,1.0
68,0.0,0.0,1.0
69,0,1,1
70,1.0,1.0,1.0
71,0.0,0.0,0.0
72,0,1,1
73,0.0,1.0,0.0
74,1.0,1.0,1.0
75,0,0,1
76,0.0,1.0,1.0
77,1.0,1.0,1.0
78,0,1,1
79,0.0,0.0,1.0
80,0.0,0.0,0.0
81,0,0,1
82,0.0,1.0,1.0
83,1.0,0.0,1.0
84,0,0,0
85,0.0,1.0,1.0
86,0.0,1.0,0.0
87,1,1,1
88,0.0,1.0,1.0
89,0.0,0.0,1.0
90,0,0,0
91,0.0,0.0,1.0
92,1.0,1.0,1.0
93,0,1,1
94,0.0,0.0,1.0
95,1.0,0.0,1.0
96,0,1,1
97,0.0,1.0,1.0
98,0.0,0.0,1.0
99,0,0,0
100,0.0,1.0,1.0
101,0.0,0.0,1.0
102,0,1,1
103,0.0,1.0,1.0
104,0.0,1.0,1.0
105,0,0,1
106,0.0,1.0,0.0
107,1.0,1.0,0.0
108,0,1,1
109,1.0,1.0,1.0
110,1.0,1.0,1.0
111,1,1,1
112,0.0,1.0,1.0
113,0.0,1.0,1.0
114,0,0,1
115,0.0,1.0,1.0
116,0.0,1.0,1.0
117,0,0,1
118,0.0,1.0,0.0
119,0.0,1.0,1.0
120,0,0,1
121,0.0,1.0,1.0
122,0.0,0.0,1.0
123,0,1,0
124,0.0,1.0,1.0
125,0.0,0.0,1.0
126,1,1,1
127,0.0,0.0,0.0
128,0.0,0.0,1.0
129,0,0,1
130,0.0,1.0,1.0
131,0.0,0.0,0.0
132,0,1,0
133,0.0,0.0,1.0
134,0.0,0.0,1.0
135,1,1,1
136,0.0,0.0,1.0
137,0.0,1.0,1.0
138,0,0,0
139,0.0,0.0,0.0
140,0.0,0.0,1.0
141,0,1,1
142,0.0,1.0,1.0
143,1.0,0.0,1.0
144,0,0,1
145,0.0,1.0,1.0
146,0.0,0.0,1.0
147,0,0,0
148,0.0,1.0,1.0
149,0.0,1.0,1.0
150,0,0,1
151,0.0,1.0,1.0
152,0.0,0.0,0.0
153,0,1,1
154,0.0,1.0,1.0
155,0.0,1.0,1.0
156,0,1,1
157,0.0,1.0,1.0
158,1.0,1.0,1.0
159,0,1,1
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0,0,1
163,0.0,0.0,1.0
164,0.0,1.0,1.0
165,0,0,1
166,1.0,1.0,0.0
167,0.0,1.0,1.0
168,0,0,1
169,0.0,0.0,0.0
170,0.0,0.0,1.0
171,0,1,1
172,0.0,1.0,0.0
173,0.0,1.0,1.0
174,1,0,1
175,1.0,0.0,1.0
176,0.0,0.0,1.0
177,0,1,1
178,0.0,1.0,1.0
179,1.0,1.0,1.0
180,0,1,1
181,0.0,1.0,1.0
182,0.0,1.0,1.0
183,0,1,1
184,0.0,1.0,1.0
185,0.0,1.0,1.0
