"","P(0)","1-P(1)"
"Item1",0.2868,0.1711
"Item2",0.2553,0.2112
"Item3",0.187,0.2717
"Item4",0.2324,0.1603
"Item5",0.2914,0.2868
"Item6",0.204,0.2353
"Item7",0.2722,0.2602
"Item8",0.2529,0.2454
"Item9",0.2147,0.233
"Item10",0.1982,0.2012
"Item11",0.1541,0.2038
"Item12",0.1598,0.2237
"Item13",0.223,0.166
"Item14",0.2563,0.2784
"Item15",0.2957,0.2822
"Item16",0.2838,0.1565
"Item17",0.2993,0.2496
"Item18",0.2865,0.2159
"Item19",0.1889,0.1869
"Item20",0.1835,0.2595
"Item21",0.1543,0.1793
"Item22",0.1957,0.2219
"Item23",0.2534,0.2462
"Item24",0.1622,0.2659
"Item25",0.1839,0.2027
"Item26",0.1695,0.1801
"Item27",0.2241,0.2595
"Item28",0.2265,0.2322
"Item29",0.1952,0.2322
"Item30",0.2747,0.1636
