"","P(0)","1-P(1)"
"Item1",0.0172,0.1198
"Item2",0.0325,0.0045
"Item3",0.0252,0.0336
"Item4",0.0712,0.0448
"Item5",0.1424,0.015
"Item6",0.0872,0.1059
"Item7",0.0664,0.1329
"Item8",0.0238,0.0691
"Item9",0.1139,0.0866
"Item10",0.0171,0.1262
"Item11",0.0761,0.0743
"Item12",0.0434,0.0921
"Item13",0.0035,0.13
"Item14",0.0841,0.0955
"Item15",0.1318,0.1038
"Item16",0.0044,0.0502
"Item17",0.149,0.019
"Item18",0.0165,0.1426
"Item19",0.0177,0.1328
"Item20",0.0675,0.1301
"Item21",0.1018,0.0706
"Item22",0.0925,0.0298
"Item23",0.1253,0.0303
"Item24",0.0503,0.1234
"Item25",0.0253,0.1045
"Item26",0.1309,0.132
"Item27",0.0156,0.0017
"Item28",0.1404,0.1179
"Item29",0.0012,0.1421
"Item30",0.0734,0.1039
