"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
"ID1",0,0,1,0,1,0,0,0,0,0
"ID2",0,1,0,0,0,0,0,0,0,1
"ID3",0,0,1,1,1,0,0,0,1,0
"ID4",0,0,1,1,1,0,0,0,0,1
"ID5",0,1,1,1,1,0,0,0,1,1
"ID6",0,1,1,0,1,0,0,1,1,1
"ID7",0,1,1,1,0,0,0,0,0,1
"ID8",0,0,1,1,1,0,0,0,0,1
"ID9",0,0,1,1,1,0,0,0,0,0
"ID10",0,1,1,0,1,1,0,0,0,1
"ID11",0,1,1,1,0,0,0,0,1,1
"ID12",0,1,1,1,1,0,1,0,1,1
"ID13",0,0,1,1,0,0,1,0,0,0
"ID14",0,1,1,1,1,0,0,0,1,1
"ID15",0,1,1,1,1,0,0,1,1,1
"ID16",0,0,0,0,0,0,0,0,0,0
"ID17",0,0,1,1,0,0,1,0,1,1
"ID18",0,1,0,0,0,0,0,0,0,1
"ID19",0,1,1,1,1,0,0,0,1,1
"ID20",1,0,1,1,0,0,0,0,0,0
"ID21",0,1,1,1,1,0,0,0,0,0
"ID22",1,1,1,1,1,1,1,1,1,1
"ID23",0,0,1,0,1,0,0,0,0,0
"ID24",0,1,1,1,1,0,0,0,0,0
"ID25",0,1,1,1,1,0,0,0,1,1
"ID26",0,0,0,0,0,0,1,0,0,0
"ID27",0,1,1,1,1,0,0,1,1,1
"ID28",1,1,1,1,1,1,1,1,1,1
"ID29",0,0,0,1,1,0,1,0,1,1
"ID30",0,0,1,1,1,0,0,0,1,1
"ID31",0,1,1,1,1,0,1,1,1,1
"ID32",0,1,1,1,1,0,1,0,1,1
"ID33",0,0,1,1,1,0,0,0,1,0
"ID34",0,1,0,0,0,0,0,0,1,1
"ID35",0,1,1,1,0,0,0,0,1,0
"ID36",0,1,1,1,1,0,0,0,1,1
"ID37",0,1,1,1,1,0,1,0,1,1
"ID38",0,1,0,0,0,1,0,0,0,1
"ID39",0,1,0,1,1,0,0,0,1,1
"ID40",0,0,1,1,1,0,0,1,0,0
"ID41",0,1,1,1,1,0,1,0,1,1
"ID42",1,0,1,1,1,0,1,1,1,1
"ID43",0,1,0,0,1,0,0,0,1,1
"ID44",0,1,0,0,0,0,0,0,0,0
"ID45",0,1,1,1,1,0,0,1,1,1
"ID46",0,1,0,0,1,0,0,1,1,0
"ID47",0,0,0,1,1,0,0,0,0,0
"ID48",0,0,1,1,0,0,0,0,0,0
"ID49",0,1,1,1,1,0,0,0,1,1
"ID50",0,0,1,1,1,0,0,0,1,0
"ID51",0,0,1,1,0,0,0,0,0,0
"ID52",0,0,0,0,0,0,0,0,0,1
"ID53",0,0,1,1,0,1,0,0,1,1
"ID54",0,0,1,1,1,0,0,0,0,0
"ID55",0,0,1,1,1,0,0,0,0,0
"ID56",0,0,0,0,0,1,0,0,0,0
"ID57",0,1,0,0,0,0,0,0,0,0
"ID58",1,1,1,1,1,1,1,1,1,0
"ID59",0,1,1,1,1,1,1,0,1,1
"ID60",0,0,1,1,1,0,0,0,0,1
"ID61",0,0,1,0,0,0,0,0,1,0
"ID62",0,0,1,1,0,0,0,0,0,0
"ID63",0,0,1,0,1,0,1,0,0,0
"ID64",0,1,0,1,1,1,1,0,1,0
"ID65",0,1,1,1,1,0,1,0,1,1
"ID66",0,1,1,1,1,0,1,1,1,1
"ID67",0,1,1,1,1,0,0,1,1,1
"ID68",1,0,1,1,1,1,1,1,0,1
"ID69",0,1,1,0,1,0,0,0,1,1
"ID70",0,1,1,0,0,0,0,0,0,1
"ID71",0,0,1,1,1,0,0,0,0,1
"ID72",0,0,0,1,1,0,0,0,0,0
"ID73",0,0,1,1,1,0,0,1,0,0
"ID74",0,1,1,1,1,0,0,1,1,1
"ID75",1,0,1,1,1,1,1,0,0,1
"ID76",1,0,1,1,1,1,1,1,1,1
"ID77",0,0,1,1,1,0,1,0,1,0
"ID78",1,0,1,1,1,0,1,0,0,0
"ID79",0,1,1,1,1,0,0,0,1,1
"ID80",0,1,1,1,1,0,0,0,1,1
"ID81",0,0,1,1,1,0,0,0,0,0
"ID82",0,1,1,1,1,0,0,0,1,1
"ID83",0,0,1,1,1,0,0,0,0,1
"ID84",0,1,1,1,0,0,1,0,1,1
"ID85",1,1,0,0,1,1,1,1,0,1
"ID86",1,1,1,1,1,1,1,1,1,1
"ID87",1,1,1,1,1,1,1,1,1,1
"ID88",0,0,1,1,1,0,0,0,0,0
"ID89",0,0,1,1,1,0,0,0,0,0
"ID90",0,1,1,0,1,1,0,1,1,1
"ID91",0,0,1,1,1,1,0,0,0,0
"ID92",0,1,1,1,1,0,1,0,1,1
"ID93",1,1,1,1,1,1,1,1,1,1
"ID94",0,0,0,0,0,0,0,0,1,0
"ID95",0,1,1,1,1,0,1,0,1,1
"ID96",0,1,1,1,1,1,1,0,1,1
"ID97",1,0,1,1,1,1,1,1,0,1
"ID98",0,0,1,1,1,1,1,0,0,0
"ID99",0,0,1,1,0,0,0,0,0,1
"ID100",0,0,1,1,0,0,0,0,0,0
