"","P(0)","1-P(1)"
"Item1",0.1707,0.1652
"Item2",0.299,0.2041
"Item3",0.1846,0.1671
"Item4",0.2203,0.1509
"Item5",0.2928,0.2028
"Item6",0.2287,0.256
"Item7",0.2203,0.2276
"Item8",0.1552,0.2082
"Item9",0.1904,0.1559
"Item10",0.2085,0.2969
"Item11",0.2576,0.2646
"Item12",0.2652,0.2821
"Item13",0.1726,0.2142
"Item14",0.2493,0.2338
"Item15",0.2313,0.2056
"Item16",0.2688,0.2701
"Item17",0.1534,0.2748
"Item18",0.1944,0.2943
"Item19",0.2809,0.2787
"Item20",0.2492,0.1505
"Item21",0.2848,0.2328
"Item22",0.2169,0.1719
"Item23",0.2727,0.2793
"Item24",0.2006,0.2699
"Item25",0.1595,0.154
"Item26",0.2479,0.1537
"Item27",0.2074,0.2055
"Item28",0.1793,0.284
"Item29",0.2827,0.2028
"Item30",0.2685,0.171
