"","P(0)","1-P(1)"
"Item1",0.2708,0.2252
"Item2",0.2884,0.2803
"Item3",0.286,0.2153
"Item4",0.2252,0.1599
"Item5",0.272,0.2609
"Item6",0.2281,0.1834
"Item7",0.1584,0.2979
"Item8",0.272,0.2839
"Item9",0.2891,0.2237
"Item10",0.2986,0.1969
"Item11",0.207,0.1715
"Item12",0.2763,0.2269
"Item13",0.2662,0.2973
"Item14",0.2299,0.1861
"Item15",0.2158,0.2045
"Item16",0.2839,0.2249
"Item17",0.206,0.257
"Item18",0.1789,0.2355
"Item19",0.284,0.2236
"Item20",0.2889,0.1933
"Item21",0.1983,0.2718
"Item22",0.2512,0.195
"Item23",0.1551,0.17
"Item24",0.1797,0.2578
"Item25",0.2937,0.2382
"Item26",0.2467,0.2827
"Item27",0.2156,0.2511
"Item28",0.2742,0.2183
"Item29",0.2228,0.1601
"Item30",0.1955,0.1619
