"","A1","A2","A3","A4","A5"
"ID1",0,0,0,1,1
"ID2",0,0,0,1,0
"ID3",0,0,0,1,1
"ID4",0,1,0,0,1
"ID5",0,0,0,1,0
"ID6",0,0,0,0,0
"ID7",0,0,0,1,1
"ID8",0,1,1,1,1
"ID9",0,0,1,0,0
"ID10",0,0,0,1,1
"ID11",0,0,0,0,1
"ID12",0,0,0,0,1
"ID13",1,0,1,1,1
"ID14",0,0,0,1,1
"ID15",0,1,1,1,1
"ID16",0,1,1,1,1
"ID17",1,0,0,1,0
"ID18",0,0,1,1,1
"ID19",0,0,1,1,1
"ID20",0,0,1,1,1
"ID21",0,0,0,1,0
"ID22",0,1,0,1,0
"ID23",0,1,1,1,1
"ID24",0,0,0,0,0
"ID25",1,0,0,1,0
"ID26",0,0,0,0,1
"ID27",0,0,1,1,1
"ID28",0,0,1,1,1
"ID29",0,0,0,0,1
"ID30",0,0,0,1,1
"ID31",0,0,1,1,1
"ID32",1,1,1,1,1
"ID33",0,1,1,1,1
"ID34",0,0,1,1,1
"ID35",0,1,1,1,1
"ID36",0,0,1,0,0
"ID37",0,0,0,1,1
"ID38",0,0,0,0,1
"ID39",0,0,1,1,1
"ID40",1,0,0,1,1
"ID41",0,1,0,0,1
"ID42",0,1,1,1,1
"ID43",0,0,0,1,1
"ID44",0,1,1,1,1
"ID45",0,1,1,1,1
"ID46",0,0,0,1,1
"ID47",0,1,1,1,1
"ID48",0,0,0,1,1
"ID49",0,0,0,0,1
"ID50",0,0,1,1,1
"ID51",0,0,1,0,1
"ID52",0,0,1,1,0
"ID53",0,0,1,1,1
"ID54",0,1,1,1,1
"ID55",0,0,1,1,1
"ID56",0,0,0,0,1
"ID57",0,0,0,0,0
"ID58",1,0,1,0,1
"ID59",0,0,0,0,1
"ID60",0,0,0,0,1
"ID61",0,0,0,1,0
"ID62",1,0,0,1,1
"ID63",1,1,1,0,1
"ID64",1,1,0,0,0
"ID65",1,0,0,1,1
"ID66",0,0,0,0,1
"ID67",0,1,1,1,1
"ID68",0,0,1,0,1
"ID69",0,0,0,1,0
"ID70",0,1,1,1,1
"ID71",1,1,1,1,1
"ID72",0,1,1,1,1
"ID73",0,0,0,1,1
"ID74",0,1,0,0,1
"ID75",0,1,1,0,1
"ID76",0,1,1,1,1
"ID77",0,0,0,1,1
"ID78",0,0,1,1,1
"ID79",0,0,0,1,1
"ID80",0,0,1,0,0
"ID81",0,0,1,1,1
"ID82",1,1,1,1,1
"ID83",0,0,1,1,1
"ID84",1,0,1,1,1
"ID85",0,0,0,0,1
"ID86",1,1,0,1,1
"ID87",0,0,1,1,1
"ID88",0,0,1,1,1
"ID89",1,0,1,1,1
"ID90",0,0,1,0,1
"ID91",0,0,1,1,1
"ID92",0,0,0,1,1
"ID93",0,0,0,0,1
"ID94",0,0,0,1,0
"ID95",0,0,0,0,1
"ID96",0,0,0,0,0
"ID97",0,0,0,1,1
"ID98",0,0,1,1,1
"ID99",0,0,0,0,1
"ID100",0,1,1,1,1
