"","P(0)","1-P(1)"
"Item1",0.2784,0.3015
"Item2",0.3186,0.1011
"Item3",0.1895,0.0143
"Item4",0.1492,0.1764
"Item5",0.1753,0.2867
"Item6",0.2782,0.0699
"Item7",0.2239,0.0819
"Item8",0.3276,0.1861
"Item9",0.3114,0.016
"Item10",0.0151,0.0143
"Item11",0.314,0.3381
"Item12",0.0227,0.1088
"Item13",0.0855,0.1116
"Item14",0.3193,0.1834
"Item15",0.2269,0.1015
"Item16",0.06,0.0958
"Item17",0.0844,0.0731
"Item18",0.2995,0.1117
"Item19",0.1383,0.2124
"Item20",0.3283,0.3146
"Item21",0.1315,0.0919
"Item22",0.3293,0.0594
"Item23",0.2269,0.2676
"Item24",0.0552,0.2667
"Item25",0.2083,0.2184
"Item26",0.0369,0.0416
"Item27",0.0663,0.2244
"Item28",0.1357,0.1103
"Item29",0.2782,0.1716
"Item30",0.0341,0.1868
