"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
"ID1",0,1,1,1,1,0,0,1,1,0
"ID2",0,0,1,1,1,0,0,0,1,0
"ID3",1,0,0,0,0,0,0,1,0,0
"ID4",0,1,1,1,1,0,1,0,1,0
"ID5",0,0,1,1,0,0,1,1,1,0
"ID6",1,1,1,1,1,1,1,0,1,0
"ID7",0,1,1,1,1,0,1,1,1,0
"ID8",0,0,0,0,0,0,0,0,0,0
"ID9",1,0,1,1,1,1,1,0,1,1
"ID10",0,0,0,0,0,0,0,0,0,0
"ID11",0,0,1,0,1,1,1,1,1,0
"ID12",1,0,1,1,0,0,1,0,0,1
"ID13",0,1,1,0,1,1,1,0,1,0
"ID14",0,1,1,0,1,0,0,0,1,0
"ID15",1,1,0,1,1,0,1,1,1,1
"ID16",1,1,0,0,0,1,1,0,0,1
"ID17",0,1,1,1,1,0,1,1,1,0
"ID18",0,1,1,1,1,0,0,1,1,0
"ID19",0,0,1,1,1,0,0,0,0,0
"ID20",0,0,0,0,0,0,0,0,0,0
"ID21",0,0,0,0,0,0,0,0,0,0
"ID22",0,1,1,1,1,0,0,1,1,0
"ID23",0,0,1,1,1,0,0,0,0,0
"ID24",0,1,0,1,1,0,0,1,1,0
"ID25",1,0,1,1,0,0,0,0,0,0
"ID26",0,0,1,0,0,0,0,0,1,0
"ID27",0,1,1,0,1,1,1,1,1,0
"ID28",1,0,0,1,0,1,1,0,1,1
"ID29",0,1,0,0,1,0,0,0,0,0
"ID30",0,1,1,1,1,0,0,1,1,0
"ID31",0,0,1,1,1,0,0,0,1,0
"ID32",0,0,1,0,1,0,0,0,1,0
"ID33",0,0,1,1,1,0,1,0,0,0
"ID34",0,0,1,1,1,0,0,1,1,0
"ID35",0,0,1,0,1,0,0,0,1,0
"ID36",0,0,0,0,0,0,0,0,0,0
"ID37",0,1,1,0,1,1,1,1,1,0
"ID38",0,1,1,1,1,0,1,1,1,0
"ID39",0,1,0,1,1,0,0,1,1,0
"ID40",0,1,0,0,0,0,0,1,1,0
"ID41",0,0,1,1,0,0,0,0,0,0
"ID42",0,1,1,0,1,0,1,1,1,0
"ID43",0,1,1,0,1,0,0,0,1,0
"ID44",0,1,1,0,1,0,0,1,1,0
"ID45",0,0,0,0,0,0,0,0,0,0
"ID46",0,0,1,1,1,0,1,1,1,0
"ID47",0,1,1,1,1,0,1,1,1,0
"ID48",0,0,1,0,0,0,1,0,1,0
"ID49",0,1,1,1,1,1,1,1,1,0
"ID50",0,1,1,1,1,1,1,0,1,0
"ID51",0,0,1,1,1,0,0,0,1,0
"ID52",0,0,1,0,0,0,0,0,1,0
"ID53",0,1,1,0,1,0,0,1,1,0
"ID54",1,0,0,1,0,1,1,0,0,1
"ID55",1,1,1,0,1,0,0,1,1,0
"ID56",0,0,0,0,0,0,0,0,0,0
"ID57",1,1,1,0,1,0,1,0,0,0
"ID58",1,0,1,1,0,1,1,0,1,1
"ID59",0,1,1,1,0,0,1,1,1,0
"ID60",0,0,1,1,1,0,0,0,0,0
"ID61",1,0,1,1,0,1,1,0,1,1
"ID62",1,0,1,1,1,0,1,0,1,0
"ID63",1,1,0,1,1,0,1,1,1,1
"ID64",1,0,1,1,1,0,1,0,1,0
"ID65",0,1,1,1,1,0,0,1,1,0
"ID66",0,0,0,1,0,0,1,0,0,0
"ID67",1,0,1,0,0,0,0,1,1,0
"ID68",1,1,0,1,1,1,1,1,1,1
"ID69",0,0,1,1,1,0,1,0,1,0
"ID70",0,0,1,1,1,0,0,0,0,0
"ID71",0,0,1,0,1,0,0,0,1,0
"ID72",0,0,1,0,1,0,0,1,1,0
"ID73",0,1,1,1,1,0,1,1,1,1
"ID74",0,0,1,0,0,0,0,0,0,0
"ID75",0,0,1,1,1,0,0,0,0,0
"ID76",0,0,1,1,1,1,1,1,1,0
"ID77",1,1,0,0,1,0,0,1,0,0
"ID78",0,1,1,0,1,0,1,1,1,0
"ID79",0,1,1,0,1,0,1,1,1,0
"ID80",0,1,1,0,1,0,1,1,1,0
"ID81",0,1,1,1,1,1,1,1,1,0
"ID82",0,1,1,0,1,0,1,0,1,0
"ID83",0,0,1,0,1,0,0,0,0,0
"ID84",0,0,1,0,1,0,1,0,1,0
"ID85",0,1,1,0,1,1,1,1,1,0
"ID86",0,1,1,1,1,0,1,1,1,0
"ID87",0,1,1,1,1,0,1,1,1,0
"ID88",0,0,1,1,1,0,1,1,1,0
"ID89",0,1,0,0,0,1,0,1,1,0
"ID90",0,1,1,0,1,0,0,1,1,0
"ID91",0,1,1,1,1,0,1,1,1,0
"ID92",1,0,1,1,0,0,0,0,1,0
"ID93",0,0,1,1,0,0,0,0,0,0
"ID94",0,0,1,0,1,0,1,0,1,0
"ID95",0,0,1,0,1,0,1,0,1,0
"ID96",0,0,1,1,0,0,0,0,0,0
"ID97",0,1,1,0,1,1,1,0,1,0
"ID98",0,0,1,0,0,0,0,0,1,0
"ID99",0,0,1,1,1,0,0,0,1,0
"ID100",1,0,1,0,1,0,1,0,0,0
