"","P(0)","1-P(1)"
"Item1",0.005,0.1325
"Item2",0.0813,0.1361
"Item3",0.047,0.0575
"Item4",0.0383,0.0118
"Item5",0.0678,0.0587
"Item6",0.1122,0.1407
"Item7",0.021,0.1459
"Item8",0.0796,0.0046
"Item9",0.1044,0.1258
"Item10",0.0883,0.1001
"Item11",0.0663,0.075
"Item12",0.048,0.1161
"Item13",0.0314,0.1112
"Item14",0.1136,0.0435
"Item15",0.0094,0.1271
"Item16",0.1054,0.1383
"Item17",0.0013,0.0923
"Item18",0.0638,0.034
"Item19",0.0231,0.0243
"Item20",0.0069,0.1465
"Item21",0.0021,0.0515
"Item22",0.0837,0.0201
"Item23",0.1245,0.0402
"Item24",0.0274,0.0552
"Item25",0.0816,0.1012
"Item26",0.1123,0.03
"Item27",0.1056,0.1471
"Item28",0.0586,0.1187
"Item29",0.1033,0.0308
"Item30",0.108,0.0316
