"","P(0)","1-P(1)"
"Item1",0.1442,0.2505
"Item2",0.0366,0.2816
"Item3",0.2121,0.153
"Item4",0.0535,0.1979
"Item5",0.038,0.2564
"Item6",0.3398,0.0261
"Item7",0.2245,0.257
"Item8",0.1384,0.3086
"Item9",0.2577,0.1487
"Item10",0.2862,0.1466
"Item11",0.2451,0.2326
"Item12",0.061,0.0954
"Item13",0.1217,0.2012
"Item14",0.3284,0.1188
"Item15",0.3326,0.339
"Item16",0.1748,0.1725
"Item17",0.2032,0.1555
"Item18",0.0057,0.0797
"Item19",0.2419,0.2313
"Item20",0.0124,0.2649
"Item21",0.2371,0.0305
"Item22",0.048,0.1205
"Item23",0.1191,0.2943
"Item24",0.196,0.0254
"Item25",0.067,0.0733
"Item26",0.0654,0.1682
"Item27",0.3246,0.1228
"Item28",0.1181,0.1142
"Item29",0.1875,0.243
"Item30",0.2371,0.0053
