"","P(0)","1-P(1)"
"Item1",0.1266,0.0186
"Item2",0.0842,0.1219
"Item3",0.0721,0.0447
"Item4",0.1277,0.101
"Item5",0.0375,0.1244
"Item6",0.1133,0.0841
"Item7",0.0881,0.0106
"Item8",0.0137,0.0893
"Item9",0.0556,0.0503
"Item10",0.0732,0.1485
"Item11",0.0757,0.1062
"Item12",0.0014,0.0601
"Item13",0.1265,0.0221
"Item14",0.1467,0.0017
"Item15",0.0953,0.0062
"Item16",0.031,0.0339
"Item17",0.1181,0.071
"Item18",0.0301,0.0519
"Item19",0.1285,0.0871
"Item20",0.1303,0.0038
"Item21",0.1306,0.1199
"Item22",0.098,0.0831
"Item23",0.1194,0.0313
"Item24",0.0193,0.0992
"Item25",0.0545,0.085
"Item26",0.0153,0.1173
"Item27",0.0576,0.0937
"Item28",0.1326,0.0558
"Item29",0.0493,0.0089
"Item30",0.0463,0.1008
