Unnamed: 0,A1,A2,A3,A4,A5
0,0,1,1,1,1
1,0.0,0.0,1.0,1.0,1.0
2,0,1,0,0,1
3,0.0,0.0,0.0,1.0,1.0
4,0,1,0,0,1
5,0.0,1.0,0.0,0.0,1.0
6,0,0,1,1,1
7,0.0,0.0,0.0,0.0,1.0
8,0,1,1,1,1
9,0.0,0.0,0.0,0.0,1.0
10,0,0,0,0,1
11,0.0,1.0,1.0,1.0,1.0
12,1,0,1,1,1
13,1.0,1.0,1.0,1.0,1.0
14,1,1,1,0,0
15,0.0,0.0,0.0,1.0,1.0
16,0,0,1,1,1
17,1.0,0.0,0.0,0.0,1.0
18,0,1,1,0,1
19,1.0,1.0,1.0,1.0,1.0
20,0,1,0,1,1
21,0.0,0.0,1.0,0.0,1.0
22,0,1,1,1,1
23,1.0,0.0,1.0,1.0,1.0
24,1,1,0,1,1
25,0.0,0.0,1.0,0.0,1.0
26,0,0,0,1,0
27,0.0,0.0,1.0,1.0,1.0
28,0,0,0,1,1
29,1.0,1.0,1.0,1.0,1.0
30,0,0,0,0,1
31,0.0,1.0,1.0,1.0,1.0
32,0,0,1,1,1
33,1.0,1.0,1.0,1.0,1.0
34,0,0,0,1,0
35,0.0,1.0,1.0,1.0,1.0
36,0,0,0,0,1
37,0.0,0.0,1.0,1.0,1.0
38,0,0,1,0,1
39,0.0,1.0,0.0,1.0,0.0
40,0,0,0,1,1
41,1.0,0.0,0.0,0.0,0.0
42,0,0,0,0,1
43,1.0,0.0,1.0,1.0,1.0
44,0,1,0,1,1
45,0.0,0.0,1.0,1.0,1.0
46,0,0,1,0,1
47,0.0,0.0,1.0,1.0,1.0
48,1,0,1,1,1
49,1.0,1.0,1.0,1.0,1.0
50,0,0,0,1,1
51,0.0,0.0,0.0,0.0,1.0
52,0,0,1,1,1
53,0.0,0.0,0.0,0.0,1.0
54,0,0,0,1,1
55,0.0,0.0,1.0,1.0,0.0
56,0,0,0,1,1
57,1.0,1.0,1.0,1.0,1.0
58,0,0,0,1,1
59,1.0,0.0,1.0,1.0,1.0
60,1,0,0,1,1
61,0.0,0.0,1.0,1.0,1.0
62,0,1,1,1,1
63,0.0,0.0,1.0,1.0,1.0
64,0,1,1,1,1
65,1.0,0.0,0.0,1.0,1.0
66,0,0,0,0,1
67,1.0,1.0,1.0,1.0,1.0
68,0,0,1,1,1
69,0.0,1.0,0.0,0.0,1.0
70,0,0,1,1,1
71,1.0,0.0,1.0,1.0,1.0
72,0,1,0,0,1
73,0.0,0.0,1.0,1.0,1.0
74,0,1,1,1,1
75,1.0,1.0,0.0,0.0,0.0
76,0,0,0,1,1
77,0.0,0.0,0.0,1.0,1.0
78,0,0,0,1,0
79,0.0,0.0,1.0,1.0,1.0
80,0,1,0,0,1
81,0.0,0.0,0.0,0.0,1.0
82,0,0,0,1,1
83,0.0,0.0,1.0,1.0,1.0
84,0,1,0,1,1
85,1.0,1.0,1.0,1.0,1.0
86,1,1,0,1,1
87,0.0,0.0,1.0,1.0,1.0
88,0,0,1,1,1
89,1.0,0.0,1.0,1.0,1.0
90,0,0,0,0,0
91,0.0,0.0,1.0,1.0,1.0
92,1,0,1,1,1
93,0.0,0.0,0.0,1.0,0.0
94,0,0,1,1,0
95,0.0,0.0,0.0,0.0,0.0
96,1,1,1,1,1
97,0.0,1.0,1.0,1.0,1.0
98,0,0,0,0,1
99,0.0,0.0,1.0,0.0,1.0
100,0,0,1,1,1
101,1.0,0.0,1.0,1.0,1.0
102,0,0,1,1,1
103,0.0,1.0,0.0,1.0,1.0
104,0,0,0,1,1
105,1.0,1.0,1.0,1.0,1.0
106,0,1,1,0,1
107,1.0,1.0,1.0,1.0,1.0
108,0,0,0,1,0
109,0.0,1.0,0.0,1.0,1.0
110,0,1,0,0,1
111,0.0,1.0,1.0,1.0,1.0
112,0,0,0,0,0
113,0.0,0.0,1.0,0.0,0.0
114,0,1,1,1,1
115,0.0,0.0,1.0,0.0,1.0
116,0,0,1,1,1
117,0.0,0.0,0.0,0.0,1.0
118,1,0,1,0,1
119,1.0,1.0,1.0,1.0,1.0
120,0,0,1,0,0
121,0.0,1.0,1.0,1.0,1.0
122,1,1,0,1,1
123,1.0,1.0,1.0,1.0,1.0
124,0,1,1,0,1
125,0.0,0.0,1.0,1.0,1.0
126,0,1,0,0,0
127,0.0,1.0,1.0,1.0,1.0
128,0,0,1,1,0
129,1.0,1.0,1.0,1.0,1.0
130,0,1,0,1,1
131,0.0,0.0,1.0,1.0,1.0
132,0,0,0,1,1
133,0.0,1.0,1.0,1.0,1.0
134,0,1,1,1,1
135,1.0,1.0,1.0,1.0,1.0
136,0,0,0,1,1
137,1.0,0.0,1.0,1.0,1.0
138,1,0,0,0,1
139,1.0,1.0,1.0,1.0,1.0
140,0,0,1,1,1
141,0.0,0.0,1.0,1.0,1.0
142,0,0,1,1,0
143,1.0,1.0,1.0,1.0,1.0
144,0,0,0,1,1
145,0.0,0.0,1.0,1.0,1.0
146,1,1,1,1,1
147,1.0,1.0,0.0,1.0,1.0
148,0,1,1,1,0
149,1.0,1.0,0.0,1.0,1.0
150,0,0,0,1,1
151,0.0,0.0,1.0,1.0,1.0
152,0,0,0,1,1
153,0.0,0.0,0.0,1.0,0.0
154,0,1,0,1,1
