"","P(0)","1-P(1)"
"Item1",0.2885,0.252
"Item2",0.2703,0.2991
"Item3",0.1681,0.218
"Item4",0.2142,0.1726
"Item5",0.2604,0.1522
"Item6",0.2944,0.2845
"Item7",0.2552,0.2716
"Item8",0.2993,0.2554
"Item9",0.2029,0.2768
"Item10",0.207,0.1584
"Item11",0.1814,0.192
"Item12",0.1596,0.2684
"Item13",0.2335,0.2825
"Item14",0.2874,0.2336
"Item15",0.1984,0.171
"Item16",0.1941,0.1655
"Item17",0.167,0.1861
"Item18",0.1727,0.1972
"Item19",0.2417,0.2989
"Item20",0.2569,0.2348
"Item21",0.1576,0.288
"Item22",0.2722,0.2228
"Item23",0.2262,0.2212
"Item24",0.2409,0.2959
"Item25",0.1893,0.2223
"Item26",0.2741,0.2816
"Item27",0.1965,0.2637
"Item28",0.2813,0.1613
"Item29",0.1758,0.1891
"Item30",0.2751,0.2411
