,0,1,2,3,4
0,0.0,1.0,0.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,1.0,0.0,0.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,0.0,0.0,1.0,1.0,1.0
7,0.0,1.0,1.0,1.0,1.0
8,1.0,0.0,1.0,1.0,1.0
9,1.0,0.0,1.0,1.0,1.0
10,0.0,0.0,0.0,1.0,1.0
11,0.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0
13,0.0,0.0,0.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0
17,1.0,0.0,1.0,1.0,1.0
18,0.0,0.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0
20,1.0,0.0,0.0,1.0,1.0
21,1.0,1.0,0.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0
25,0.0,0.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0
28,0.0,0.0,0.0,0.0,1.0
29,0.0,0.0,0.0,0.0,1.0
30,0.0,0.0,0.0,1.0,1.0
31,1.0,0.0,1.0,1.0,1.0
32,1.0,0.0,1.0,1.0,1.0
33,0.0,0.0,1.0,1.0,1.0
34,0.0,1.0,0.0,0.0,0.0
35,1.0,1.0,1.0,1.0,1.0
36,0.0,0.0,1.0,1.0,1.0
37,1.0,0.0,1.0,1.0,1.0
38,0.0,0.0,0.0,0.0,1.0
39,0.0,0.0,0.0,1.0,1.0
40,1.0,0.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0,1.0
43,1.0,0.0,1.0,0.0,1.0
44,1.0,0.0,0.0,1.0,1.0
45,0.0,0.0,0.0,0.0,0.0
46,1.0,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0,1.0
49,0.0,1.0,0.0,0.0,1.0
50,0.0,1.0,1.0,1.0,0.0
51,1.0,0.0,1.0,1.0,1.0
52,0.0,1.0,0.0,1.0,1.0
53,0.0,0.0,0.0,1.0,1.0
54,0.0,0.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0,1.0
56,1.0,0.0,0.0,1.0,1.0
57,0.0,0.0,1.0,0.0,1.0
58,0.0,0.0,0.0,1.0,1.0
59,0.0,0.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0,1.0
61,1.0,0.0,1.0,1.0,1.0
62,1.0,1.0,1.0,1.0,1.0
63,0.0,0.0,0.0,1.0,1.0
64,0.0,0.0,1.0,1.0,1.0
65,0.0,0.0,0.0,0.0,1.0
66,1.0,0.0,1.0,0.0,1.0
67,1.0,0.0,0.0,0.0,1.0
68,0.0,0.0,0.0,1.0,0.0
69,1.0,1.0,1.0,0.0,1.0
70,1.0,0.0,1.0,0.0,1.0
71,0.0,1.0,1.0,1.0,1.0
72,1.0,1.0,1.0,1.0,1.0
73,1.0,1.0,1.0,1.0,1.0
74,1.0,0.0,0.0,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0
76,0.0,0.0,1.0,1.0,1.0
77,1.0,0.0,0.0,0.0,1.0
78,0.0,0.0,1.0,1.0,1.0
79,1.0,1.0,1.0,1.0,1.0
80,1.0,0.0,1.0,1.0,1.0
81,0.0,0.0,1.0,0.0,1.0
82,1.0,1.0,1.0,1.0,1.0
83,1.0,0.0,0.0,0.0,1.0
84,1.0,0.0,1.0,1.0,1.0
85,1.0,1.0,1.0,1.0,1.0
86,1.0,0.0,1.0,1.0,1.0
87,0.0,1.0,0.0,1.0,1.0
88,1.0,1.0,1.0,1.0,1.0
89,0.0,0.0,1.0,1.0,1.0
90,1.0,1.0,0.0,1.0,1.0
91,1.0,1.0,1.0,1.0,1.0
92,0.0,0.0,0.0,1.0,1.0
93,0.0,0.0,1.0,1.0,0.0
94,1.0,0.0,1.0,0.0,1.0
95,0.0,1.0,1.0,1.0,1.0
96,0.0,0.0,0.0,0.0,1.0
97,0.0,0.0,0.0,1.0,1.0
98,0.0,1.0,1.0,1.0,1.0
99,0.0,0.0,0.0,0.0,1.0
