"","P(0)","1-P(1)"
"Item1",0.2337,0.1545
"Item2",0.2167,0.2025
"Item3",0.1992,0.2406
"Item4",0.1715,0.2858
"Item5",0.1761,0.2057
"Item6",0.2938,0.2102
"Item7",0.2831,0.2628
"Item8",0.2142,0.1551
"Item9",0.1867,0.1974
"Item10",0.2325,0.2194
"Item11",0.2342,0.2151
"Item12",0.197,0.2354
"Item13",0.1918,0.2615
"Item14",0.2507,0.2527
"Item15",0.1956,0.2421
"Item16",0.2336,0.1814
"Item17",0.2211,0.2199
"Item18",0.2795,0.2233
"Item19",0.1574,0.1595
"Item20",0.1543,0.1911
"Item21",0.2273,0.1896
"Item22",0.1987,0.2235
"Item23",0.2769,0.162
"Item24",0.2593,0.2583
"Item25",0.274,0.2019
"Item26",0.2355,0.2587
"Item27",0.18,0.1751
"Item28",0.2388,0.1819
"Item29",0.2966,0.2573
"Item30",0.2619,0.2916
