"","A1","A2","A3","A4","A5"
"ID1",0,1,1,1,1
"ID2",0,0,1,1,1
"ID3",0,1,0,0,1
"ID4",0,0,0,1,1
"ID5",0,1,0,0,1
"ID6",0,0,0,0,1
"ID7",0,0,1,1,1
"ID8",0,0,0,0,1
"ID9",0,1,1,1,1
"ID10",0,0,0,0,1
"ID11",0,0,0,0,1
"ID12",1,0,1,1,1
"ID13",1,0,1,1,1
"ID14",0,1,1,1,1
"ID15",1,1,1,0,0
"ID16",0,0,0,1,1
"ID17",0,0,1,1,1
"ID18",1,0,0,0,1
"ID19",0,1,1,0,1
"ID20",0,0,1,1,1
"ID21",0,1,0,1,1
"ID22",0,0,0,0,1
"ID23",0,1,1,1,1
"ID24",0,0,1,1,1
"ID25",1,1,0,1,1
"ID26",0,0,1,0,1
"ID27",0,0,0,1,0
"ID28",0,0,1,1,1
"ID29",0,0,0,1,1
"ID30",1,1,1,1,1
"ID31",0,0,0,0,1
"ID32",0,0,0,1,1
"ID33",0,0,1,1,1
"ID34",0,1,0,1,1
"ID35",0,0,0,1,0
"ID36",0,0,1,1,1
"ID37",0,0,0,0,1
"ID38",0,0,1,1,1
"ID39",0,0,1,0,1
"ID40",0,0,0,1,1
"ID41",0,0,0,1,1
"ID42",0,0,0,0,0
"ID43",0,0,0,0,1
"ID44",1,0,1,0,1
"ID45",0,1,0,1,1
"ID46",0,0,1,1,1
"ID47",0,0,1,0,1
"ID48",0,0,1,1,1
"ID49",1,0,1,1,1
"ID50",0,1,0,1,1
"ID51",0,0,0,1,1
"ID52",0,0,0,0,1
"ID53",0,0,1,1,1
"ID54",0,0,0,0,1
"ID55",0,0,0,1,1
"ID56",0,0,1,1,1
"ID57",0,0,0,1,1
"ID58",0,1,0,1,1
"ID59",0,0,0,1,1
"ID60",0,0,0,1,1
"ID61",1,0,0,1,1
"ID62",0,1,1,0,0
"ID63",0,1,1,1,1
"ID64",0,0,1,1,1
"ID65",0,1,1,1,1
"ID66",0,0,0,1,1
"ID67",0,0,0,0,1
"ID68",1,1,1,0,1
"ID69",0,0,1,1,1
"ID70",0,0,0,0,1
"ID71",0,0,1,1,1
"ID72",1,0,1,1,1
"ID73",0,1,0,0,1
"ID74",0,0,1,1,1
"ID75",0,1,1,1,1
"ID76",0,0,0,0,0
"ID77",0,0,0,1,1
"ID78",0,0,0,1,0
"ID79",0,0,0,1,0
"ID80",0,0,0,1,1
"ID81",0,1,0,0,1
"ID82",0,0,0,0,1
"ID83",0,0,0,1,1
"ID84",0,0,0,1,1
"ID85",0,1,0,1,1
"ID86",0,1,1,1,1
"ID87",1,1,0,1,1
"ID88",0,0,0,1,1
"ID89",0,0,1,1,1
"ID90",0,0,1,1,1
"ID91",0,0,0,0,0
"ID92",0,0,1,0,0
"ID93",1,0,1,1,1
"ID94",0,0,0,1,0
"ID95",0,0,1,1,0
"ID96",0,0,0,0,1
"ID97",1,1,1,1,1
"ID98",0,1,1,1,1
"ID99",0,0,0,0,1
"ID100",0,0,1,0,1
"ID101",0,0,1,1,1
"ID102",1,0,1,1,1
"ID103",0,0,1,1,1
"ID104",0,1,0,0,1
"ID105",0,0,0,1,1
"ID106",0,1,0,1,1
"ID107",0,1,1,0,1
"ID108",0,1,1,1,1
"ID109",0,0,0,1,0
"ID110",0,0,0,1,1
"ID111",0,1,0,0,1
"ID112",0,0,1,1,1
"ID113",0,0,0,0,0
"ID114",0,0,1,0,1
"ID115",0,1,1,1,1
"ID116",0,0,1,0,1
"ID117",0,0,1,1,1
"ID118",0,0,0,0,1
"ID119",1,0,1,0,1
"ID120",0,1,1,1,1
"ID121",0,0,1,0,0
"ID122",0,0,0,1,1
"ID123",1,1,0,1,1
"ID124",1,0,1,1,1
"ID125",0,1,1,0,1
"ID126",0,0,1,1,1
"ID127",0,1,0,0,0
"ID128",0,0,0,1,1
"ID129",0,0,1,1,0
"ID130",1,1,1,1,1
"ID131",0,1,0,1,1
"ID132",0,0,1,1,1
"ID133",0,0,0,1,1
"ID134",0,1,0,1,1
"ID135",0,1,1,1,1
"ID136",1,1,1,1,1
"ID137",0,0,0,1,1
"ID138",0,0,1,1,1
"ID139",1,0,0,0,1
"ID140",0,0,1,1,1
"ID141",0,0,1,1,1
"ID142",0,0,1,1,1
"ID143",0,0,1,1,0
"ID144",0,0,1,1,1
"ID145",0,0,0,1,1
"ID146",0,0,1,1,1
