Unnamed: 0,A1,A2,A3
0,0,1,1
1,1.0,1.0,1.0
2,0,0,1
3,1.0,1.0,1.0
4,0,1,1
5,0.0,1.0,1.0
6,0,0,1
7,0.0,1.0,1.0
8,1,1,1
9,0.0,1.0,1.0
10,0,0,1
11,1.0,1.0,1.0
12,0,0,1
13,0.0,1.0,1.0
14,0,1,1
15,1.0,0.0,1.0
16,1,1,1
17,1.0,0.0,1.0
18,0,0,0
19,0.0,1.0,1.0
20,0,1,1
21,1.0,1.0,1.0
22,0,1,1
23,0.0,1.0,1.0
24,0,0,1
25,0.0,1.0,1.0
26,0,1,1
27,1.0,1.0,1.0
28,0,0,1
29,0.0,1.0,1.0
30,1,1,1
31,0.0,0.0,1.0
32,0,1,1
33,0.0,1.0,1.0
34,0,1,0
35,0.0,1.0,1.0
36,0,0,0
37,1.0,0.0,1.0
38,0,1,1
39,0.0,1.0,1.0
40,0,0,1
41,0.0,1.0,0.0
42,0,0,1
43,1.0,1.0,1.0
44,0,0,1
45,0.0,1.0,1.0
46,0,1,1
47,0.0,0.0,0.0
48,0,1,1
49,1.0,0.0,1.0
50,0,1,1
51,0.0,0.0,1.0
52,0,1,1
53,0.0,1.0,0.0
54,0,0,1
55,1.0,0.0,1.0
56,0,0,1
57,0.0,1.0,0.0
58,1,1,1
59,1.0,1.0,1.0
60,0,0,1
61,0.0,1.0,1.0
62,0,1,1
63,0.0,1.0,1.0
64,0,1,1
65,0.0,1.0,1.0
66,0,0,1
67,0.0,0.0,1.0
68,1,0,1
69,0.0,1.0,1.0
70,0,0,0
71,1.0,1.0,0.0
72,0,0,1
73,0.0,0.0,1.0
74,0,1,0
75,0.0,0.0,1.0
76,0,1,1
77,1.0,0.0,1.0
78,1,1,1
79,0.0,0.0,1.0
80,0,0,1
81,0.0,1.0,1.0
82,0,1,1
83,1.0,1.0,1.0
84,0,1,1
85,0.0,1.0,1.0
86,0,1,1
87,0.0,1.0,1.0
88,0,0,1
89,0.0,1.0,0.0
90,0,0,1
91,0.0,1.0,1.0
92,0,1,1
93,0.0,0.0,1.0
94,0,0,1
95,0.0,1.0,1.0
96,0,0,0
97,0.0,1.0,0.0
98,0,1,0
99,0.0,0.0,0.0
100,0,0,1
101,0.0,1.0,0.0
102,0,1,1
103,0.0,0.0,1.0
104,1,0,1
105,0.0,1.0,1.0
106,0,0,1
107,1.0,0.0,1.0
108,0,0,1
109,0.0,0.0,1.0
110,0,1,1
111,0.0,1.0,1.0
112,0,1,1
113,0.0,1.0,1.0
114,0,0,1
115,0.0,1.0,1.0
116,0,0,1
117,0.0,1.0,1.0
118,1,1,1
119,0.0,0.0,0.0
120,1,1,1
121,0.0,1.0,1.0
122,0,1,1
123,1.0,0.0,1.0
124,0,0,1
125,0.0,0.0,0.0
126,0,0,1
127,1.0,1.0,1.0
128,0,0,1
129,0.0,0.0,1.0
130,0,1,1
131,1.0,0.0,0.0
132,0,0,0
133,0.0,1.0,1.0
134,0,1,1
135,0.0,0.0,1.0
136,0,1,1
137,0.0,1.0,1.0
138,0,0,1
139,0.0,0.0,0.0
140,0,0,0
141,0.0,0.0,1.0
142,1,1,1
143,1.0,1.0,1.0
144,1,1,1
145,0.0,1.0,0.0
146,1,1,1
147,0.0,1.0,1.0
148,0,1,1
149,1.0,0.0,0.0
150,0,1,1
151,0.0,0.0,0.0
