"","A1","A2","A3"
"ID1",0,1,1
"ID2",1,0,1
"ID3",0,0,1
"ID4",1,1,1
"ID5",0,1,1
"ID6",0,1,1
"ID7",0,0,1
"ID8",0,1,1
"ID9",1,1,1
"ID10",0,1,1
"ID11",0,0,1
"ID12",0,1,1
"ID13",0,0,1
"ID14",0,1,1
"ID15",0,1,1
"ID16",0,0,1
"ID17",1,1,1
"ID18",1,0,1
"ID19",0,0,0
"ID20",0,0,1
"ID21",0,1,1
"ID22",0,0,1
"ID23",0,1,1
"ID24",0,1,1
"ID25",0,0,1
"ID26",0,1,1
"ID27",0,1,1
"ID28",0,1,1
"ID29",0,0,1
"ID30",0,1,1
"ID31",1,1,1
"ID32",0,1,1
"ID33",0,1,1
"ID34",0,1,1
"ID35",0,1,0
"ID36",0,0,1
"ID37",0,0,0
"ID38",1,0,0
"ID39",0,1,1
"ID40",0,1,1
"ID41",0,0,1
"ID42",0,1,0
"ID43",0,0,1
"ID44",1,1,1
"ID45",0,0,1
"ID46",0,1,1
"ID47",0,1,1
"ID48",0,0,1
"ID49",0,1,1
"ID50",0,0,1
"ID51",0,1,1
"ID52",0,0,1
"ID53",0,1,1
"ID54",0,1,1
"ID55",0,0,1
"ID56",1,0,1
"ID57",0,0,1
"ID58",0,1,0
"ID59",1,1,1
"ID60",1,1,1
"ID61",0,0,1
"ID62",0,1,1
"ID63",0,1,1
"ID64",0,1,1
"ID65",0,1,1
"ID66",0,1,1
"ID67",0,0,1
"ID68",0,0,0
"ID69",1,0,1
"ID70",0,1,1
"ID71",0,0,0
"ID72",0,1,1
"ID73",0,0,1
"ID74",0,0,1
"ID75",0,1,0
"ID76",0,0,1
"ID77",0,1,1
"ID78",0,0,1
"ID79",1,1,1
"ID80",0,1,1
"ID81",0,0,1
"ID82",0,1,1
"ID83",0,1,1
"ID84",0,1,1
"ID85",0,1,1
"ID86",0,1,1
"ID87",0,1,1
"ID88",0,0,0
"ID89",0,0,1
"ID90",0,1,0
"ID91",0,0,1
"ID92",0,0,1
"ID93",0,1,1
"ID94",0,1,1
"ID95",0,0,1
"ID96",0,1,1
"ID97",0,0,0
"ID98",0,1,1
"ID99",0,1,0
"ID100",0,0,1
"ID101",0,0,1
"ID102",0,1,1
"ID103",0,1,1
"ID104",0,0,1
"ID105",1,0,1
"ID106",0,1,1
"ID107",0,0,1
"ID108",1,0,1
"ID109",0,0,1
"ID110",0,1,1
"ID111",0,1,1
"ID112",0,1,1
"ID113",0,1,1
"ID114",0,1,1
"ID115",0,0,1
"ID116",1,1,1
"ID117",0,0,1
"ID118",0,0,1
"ID119",1,1,1
"ID120",0,0,0
"ID121",1,1,1
"ID122",0,1,1
"ID123",0,1,1
"ID124",0,0,1
"ID125",0,0,1
"ID126",0,0,1
"ID127",0,0,1
"ID128",1,1,1
"ID129",0,0,1
"ID130",0,0,1
"ID131",0,1,1
"ID132",0,0,1
"ID133",0,0,0
"ID134",0,0,1
"ID135",0,1,1
"ID136",0,0,1
"ID137",0,1,1
"ID138",0,1,0
"ID139",0,0,1
"ID140",0,0,1
"ID141",0,0,0
"ID142",0,0,1
"ID143",1,1,1
"ID144",1,1,1
"ID145",1,1,1
"ID146",0,1,0
"ID147",1,1,1
"ID148",0,1,1
"ID149",0,1,1
"ID150",1,0,0
"ID151",0,1,1
"ID152",0,0,1
"ID153",0,0,1
"ID154",0,0,1
"ID155",0,0,1
"ID156",0,0,1
"ID157",0,1,1
"ID158",1,1,1
"ID159",0,0,0
"ID160",0,0,0
"ID161",0,1,1
"ID162",0,1,0
"ID163",0,0,1
"ID164",0,1,1
"ID165",0,1,1
"ID166",0,0,1
"ID167",0,1,1
"ID168",0,1,1
"ID169",1,0,1
"ID170",1,1,1
"ID171",0,1,1
"ID172",0,1,1
"ID173",0,0,1
"ID174",0,1,1
"ID175",0,1,0
"ID176",0,0,1
"ID177",0,0,0
"ID178",0,0,1
"ID179",0,1,1
"ID180",0,0,1
"ID181",0,1,1
"ID182",0,1,1
"ID183",0,0,1
"ID184",0,1,1
"ID185",1,1,1
"ID186",0,0,1
"ID187",0,1,1
"ID188",0,0,1
"ID189",0,0,1
"ID190",0,0,1
"ID191",1,1,1
"ID192",0,0,1
"ID193",0,0,1
"ID194",0,0,1
"ID195",0,1,1
"ID196",1,0,1
"ID197",0,0,1
"ID198",0,0,1
"ID199",0,1,1
"ID200",0,1,1
"ID201",0,1,1
"ID202",0,1,1
"ID203",1,1,1
"ID204",0,1,1
"ID205",0,0,1
"ID206",0,0,1
"ID207",1,0,0
"ID208",0,0,1
"ID209",0,0,1
"ID210",0,0,1
"ID211",0,0,0
"ID212",0,0,1
"ID213",0,1,1
"ID214",0,0,0
"ID215",0,1,1
"ID216",0,0,1
"ID217",0,0,1
"ID218",0,0,1
"ID219",0,0,0
"ID220",0,0,1
"ID221",0,0,1
"ID222",0,1,0
"ID223",0,1,1
"ID224",1,0,1
"ID225",0,1,1
"ID226",0,1,1
"ID227",1,1,1
"ID228",1,1,1
"ID229",0,0,1
"ID230",0,1,1
"ID231",1,1,1
"ID232",0,1,1
"ID233",0,1,1
"ID234",0,0,1
"ID235",0,1,1
"ID236",0,0,1
"ID237",0,0,1
"ID238",0,1,1
"ID239",1,1,1
"ID240",0,0,1
"ID241",0,1,1
"ID242",0,0,1
"ID243",0,0,1
"ID244",0,1,1
"ID245",0,0,1
