Unnamed: 0,A1,A2,A3,A4,A5
0,0,0,0,0,1
1,0.0,1.0,0.0,1.0,1.0
2,0.0,0.0,0.0,0.0,1.0
3,1,1,1,1,1
4,1.0,1.0,1.0,1.0,1.0
5,0.0,0.0,0.0,1.0,1.0
6,0,0,1,0,0
7,0.0,0.0,1.0,1.0,1.0
8,0.0,0.0,0.0,1.0,1.0
9,0,0,0,1,1
10,0.0,0.0,1.0,0.0,1.0
11,0.0,0.0,1.0,1.0,0.0
12,1,0,1,1,1
13,1.0,1.0,0.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0
15,0,0,1,0,1
16,0.0,0.0,0.0,0.0,0.0
17,0.0,1.0,0.0,1.0,1.0
18,0,0,0,1,1
19,0.0,0.0,0.0,0.0,0.0
20,1.0,0.0,0.0,1.0,1.0
21,0,0,0,1,1
22,0.0,0.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0
24,0,0,0,1,1
25,0.0,1.0,0.0,1.0,1.0
26,0.0,0.0,0.0,1.0,1.0
27,0,0,1,0,0
28,0.0,0.0,0.0,1.0,1.0
29,1.0,1.0,0.0,1.0,1.0
30,0,0,1,1,1
31,0.0,1.0,0.0,1.0,1.0
32,0.0,0.0,1.0,1.0,1.0
33,0,1,1,1,1
34,1.0,1.0,1.0,1.0,1.0
35,0.0,0.0,0.0,1.0,1.0
36,0,0,0,1,0
37,0.0,1.0,0.0,1.0,1.0
38,0.0,0.0,1.0,0.0,1.0
39,0,0,0,0,1
40,0.0,0.0,0.0,1.0,1.0
41,0.0,1.0,1.0,1.0,1.0
42,0,0,1,1,0
43,0.0,0.0,0.0,0.0,1.0
44,0.0,0.0,1.0,1.0,1.0
45,0,0,0,1,1
46,0.0,1.0,0.0,0.0,1.0
47,1.0,0.0,1.0,1.0,1.0
48,0,0,1,1,1
49,1.0,0.0,1.0,1.0,1.0
