"","P(0)","1-P(1)"
"Item1",9e-04,0.0934
"Item2",0.0771,0.0798
"Item3",0.0653,0.1015
"Item4",0.0355,0.053
"Item5",0.0593,0.0813
"Item6",0.1096,0.1414
"Item7",0.01,0.0662
"Item8",0.0214,0.02
"Item9",0.0104,0.1026
"Item10",0.1454,0.0356
"Item11",0.0567,0.0696
"Item12",0.1073,0.0597
"Item13",0.121,0.0162
"Item14",0.1289,0.1133
"Item15",0.0944,0.1283
"Item16",0.0131,0.0505
"Item17",0.145,0.0188
"Item18",0.0221,0.0357
"Item19",0.0851,0.1299
"Item20",0.0659,0.1299
"Item21",0.0293,0.067
"Item22",0.0781,0.0032
"Item23",0.1125,0.1232
"Item24",0.0164,0.072
"Item25",0.1112,0.0249
"Item26",0.1007,0.1334
"Item27",0.1252,0.0656
"Item28",0.0903,0.0763
"Item29",0.0549,0.0368
"Item30",0.1343,0.1446
