Unnamed: 0,A1,A2,A3
0,0,0,1
1,0.0,1.0,0.0
2,0,0,0
3,0.0,0.0,1.0
4,0,1,1
5,0.0,0.0,0.0
6,0,1,1
7,0.0,1.0,1.0
8,0,1,1
9,0.0,1.0,1.0
10,0,0,0
11,0.0,0.0,0.0
12,0,0,1
13,0.0,1.0,0.0
14,0,0,1
15,1.0,1.0,1.0
16,1,0,0
17,0.0,0.0,1.0
18,0,1,1
19,1.0,1.0,1.0
20,0,1,1
21,1.0,1.0,1.0
22,0,0,1
23,0.0,0.0,1.0
24,0,0,0
25,0.0,0.0,1.0
26,0,1,1
27,0.0,1.0,1.0
28,0,0,1
29,0.0,0.0,1.0
30,0,0,0
31,0.0,1.0,1.0
32,1,1,1
33,0.0,0.0,1.0
34,0,1,1
35,0.0,1.0,1.0
36,1,1,1
37,0.0,1.0,1.0
38,0,1,1
39,0.0,0.0,0.0
40,0,1,1
41,0.0,0.0,0.0
42,0,1,1
43,1.0,0.0,1.0
44,0,0,0
45,1.0,0.0,1.0
46,0,0,1
47,1.0,1.0,1.0
48,0,0,1
49,0.0,1.0,1.0
50,0,1,1
51,0.0,0.0,1.0
52,0,1,1
53,0.0,0.0,1.0
54,0,1,1
55,0.0,0.0,1.0
56,0,0,1
57,0.0,0.0,1.0
58,0,1,1
59,0.0,1.0,1.0
60,0,1,1
61,0.0,0.0,0.0
62,0,1,1
63,0.0,0.0,1.0
64,0,0,1
65,0.0,0.0,1.0
66,0,0,1
67,1.0,1.0,0.0
68,0,1,1
69,0.0,0.0,1.0
70,0,1,1
71,0.0,1.0,1.0
72,0,0,1
73,0.0,0.0,1.0
74,0,1,1
75,0.0,1.0,1.0
76,0,0,1
77,0.0,1.0,1.0
78,1,0,1
79,0.0,0.0,1.0
80,0,1,1
81,0.0,1.0,0.0
82,0,1,1
83,0.0,1.0,0.0
84,0,1,1
85,1.0,1.0,1.0
86,1,1,0
87,0.0,0.0,1.0
88,0,1,1
89,1.0,0.0,1.0
90,0,0,1
91,0.0,1.0,1.0
92,0,0,1
93,0.0,1.0,1.0
94,1,1,1
95,0.0,0.0,1.0
96,0,0,1
97,0.0,1.0,0.0
98,0,1,1
99,0.0,0.0,1.0
100,0,1,1
101,0.0,0.0,1.0
102,0,1,1
103,0.0,0.0,1.0
104,0,1,1
105,0.0,0.0,1.0
106,0,0,1
107,1.0,0.0,1.0
108,0,1,1
109,0.0,1.0,1.0
110,0,1,1
111,0.0,0.0,1.0
112,0,0,1
113,0.0,0.0,1.0
114,1,1,1
115,0.0,0.0,1.0
116,0,0,0
117,0.0,0.0,1.0
118,0,0,1
119,0.0,1.0,0.0
120,0,1,1
121,0.0,0.0,0.0
122,0,0,1
123,0.0,0.0,1.0
124,0,0,1
125,0.0,0.0,1.0
126,0,1,1
127,0.0,0.0,0.0
128,0,1,1
129,0.0,0.0,0.0
130,0,1,1
131,0.0,0.0,0.0
132,0,0,1
