"","P(0)","1-P(1)"
"Item1",0.0975,0.0199
"Item2",0.0418,0.0196
"Item3",0.0726,0.0027
"Item4",0.115,0.0363
"Item5",0.1365,0.026
"Item6",0.0108,0.1373
"Item7",0.042,0.007
"Item8",0.0212,0.0315
"Item9",0.0099,0.1166
"Item10",0.1424,0.1363
"Item11",0.0072,0.0554
"Item12",0.0777,0.0748
"Item13",0.0133,0.1013
"Item14",0.0311,0.0787
"Item15",0.1346,0.0749
"Item16",0.1238,0.1492
"Item17",0.1437,0.0879
"Item18",0.0418,0.0404
"Item19",0.0976,0.0803
"Item20",0.1479,0.1264
"Item21",0.0933,0.1321
"Item22",0.0824,0.0708
"Item23",0.0335,0.0945
"Item24",0.0695,0.0725
"Item25",0.015,0.1043
"Item26",0.1223,0.124
"Item27",0.0743,0.0299
"Item28",0.0713,0.0405
"Item29",0.1168,0.0903
"Item30",0.1168,0.1251
