"","A1","A2","A3","A4","A5"
"ID1",0,0,0,1,0
"ID2",1,1,1,1,1
"ID3",0,0,1,0,1
"ID4",0,0,0,0,1
"ID5",0,1,0,1,1
"ID6",0,0,1,1,1
"ID7",0,0,1,1,1
"ID8",0,0,1,1,1
"ID9",0,0,1,1,1
"ID10",0,0,0,1,1
"ID11",0,1,1,0,1
"ID12",0,0,0,0,1
"ID13",0,0,0,1,1
"ID14",0,0,0,1,1
"ID15",0,0,1,1,1
"ID16",0,1,1,1,1
"ID17",1,0,0,0,0
"ID18",0,0,0,0,1
"ID19",0,0,0,0,0
"ID20",0,0,0,0,1
"ID21",0,0,0,1,1
"ID22",0,0,0,1,1
"ID23",0,1,1,0,1
"ID24",0,0,0,1,1
"ID25",1,1,1,0,1
"ID26",0,0,0,1,0
"ID27",0,0,0,1,1
"ID28",1,0,0,0,1
"ID29",0,0,1,0,1
"ID30",0,0,0,1,1
"ID31",0,0,0,1,1
"ID32",0,1,0,1,1
"ID33",0,0,0,0,1
"ID34",0,1,0,0,1
"ID35",0,0,0,1,0
"ID36",0,1,1,1,1
"ID37",0,0,0,0,1
"ID38",0,1,1,1,1
"ID39",0,0,1,1,1
"ID40",0,0,1,1,0
"ID41",0,1,0,0,1
"ID42",0,0,1,1,1
"ID43",0,1,0,1,1
"ID44",0,0,0,1,1
"ID45",0,0,1,0,1
"ID46",0,0,0,1,0
"ID47",0,0,0,0,1
"ID48",0,0,0,1,1
"ID49",1,1,0,1,0
"ID50",0,0,1,0,1
