"","A1","A2","A3","A4","A5"
"ID1",1,1,1,1,1
"ID2",0,0,0,1,1
"ID3",0,0,1,0,1
"ID4",0,0,1,1,1
"ID5",0,1,1,1,1
"ID6",1,1,1,0,1
"ID7",0,0,1,1,1
"ID8",1,0,1,1,1
"ID9",0,0,0,0,1
"ID10",0,1,1,1,1
"ID11",1,0,1,1,1
"ID12",1,1,1,1,1
"ID13",0,0,0,0,0
"ID14",0,1,0,0,0
"ID15",0,1,1,1,1
"ID16",0,0,0,1,1
"ID17",0,1,1,1,1
"ID18",1,0,1,1,1
"ID19",0,0,1,1,0
"ID20",0,1,1,1,1
"ID21",0,0,0,1,1
"ID22",1,1,1,1,1
"ID23",1,0,1,1,1
"ID24",0,0,1,0,1
"ID25",0,0,1,1,1
"ID26",0,0,1,1,0
"ID27",0,0,0,0,1
"ID28",0,0,0,1,1
"ID29",1,1,1,1,1
"ID30",0,0,1,0,0
"ID31",0,1,1,1,1
"ID32",0,1,1,1,0
"ID33",0,1,1,0,1
"ID34",1,0,0,1,1
"ID35",0,0,1,1,1
"ID36",0,0,1,0,1
"ID37",0,0,1,0,1
"ID38",0,0,1,1,1
"ID39",1,1,1,1,1
"ID40",0,0,1,0,1
"ID41",0,1,0,1,1
"ID42",0,0,1,0,1
"ID43",0,0,1,1,1
"ID44",0,0,0,1,1
"ID45",0,0,1,1,1
"ID46",1,0,1,1,1
"ID47",0,0,0,1,1
"ID48",0,0,1,1,1
"ID49",0,1,0,1,1
"ID50",0,0,0,1,1
"ID51",0,0,1,1,1
"ID52",0,1,0,1,1
"ID53",1,0,1,1,1
"ID54",0,0,1,1,1
"ID55",0,0,1,0,0
"ID56",0,0,0,1,1
"ID57",0,0,0,1,1
"ID58",0,0,0,1,1
"ID59",0,0,0,0,1
"ID60",0,0,1,1,1
"ID61",0,0,0,0,1
"ID62",0,0,1,1,1
"ID63",0,0,0,0,1
"ID64",0,1,1,1,1
"ID65",0,0,0,0,1
"ID66",0,1,1,1,1
"ID67",0,0,0,1,1
"ID68",0,0,1,1,1
"ID69",1,1,0,1,1
"ID70",0,1,0,0,1
"ID71",0,0,1,1,1
"ID72",0,0,1,0,0
