"","P(0)","1-P(1)"
"Item1",0.0522,0.0055
"Item2",0.11,0.096
"Item3",0.0508,0.1029
"Item4",0.06,0.1161
"Item5",0.0735,0.0725
"Item6",0.0594,0.0864
"Item7",0.0645,0.0238
"Item8",0.0528,0.1189
"Item9",0.1426,0.1288
"Item10",0.0962,0.0522
"Item11",0.0559,0.0739
"Item12",0.102,0.0025
"Item13",0.1302,0.0674
"Item14",0.0855,0.016
"Item15",0.1246,0.0487
"Item16",0.0202,0.0013
"Item17",0.0777,0.1179
"Item18",0.076,0.0838
"Item19",0.1094,0.0735
"Item20",0.044,0.0577
"Item21",0.0158,0.1313
"Item22",0.0402,0.0705
"Item23",0.0328,0.0052
"Item24",0.1188,0.1059
"Item25",0.1364,0.0619
"Item26",0.0508,0.1341
"Item27",0.0823,0.0956
"Item28",0.1069,0.0403
"Item29",0.0362,0.1444
"Item30",0.0985,0.0032
