"","P(0)","1-P(1)"
"Item1",0.0231,0.0739
"Item2",0.2031,0.0018
"Item3",0.3044,0.2445
"Item4",0.0935,0.0215
"Item5",0.3033,0.1563
"Item6",0.2491,0.189
"Item7",0.1364,0.0401
"Item8",0.1718,0.3065
"Item9",0.3037,0.2976
"Item10",0.0408,0.1349
"Item11",0.3173,0.1933
"Item12",0.1328,0.2105
"Item13",0.1951,0.3466
"Item14",0.0292,0.1065
"Item15",0.1975,0.0771
"Item16",0.3444,0.0497
"Item17",0.2479,0.1905
"Item18",0.0658,0.035
"Item19",0.0893,0.3009
"Item20",0.2066,0.1027
"Item21",0.1503,0.0682
"Item22",0.2232,0.0999
"Item23",0.3235,0.3433
"Item24",0.0203,0.2145
"Item25",0.3117,0.1108
"Item26",0.1561,0.037
"Item27",0.015,0.2976
"Item28",0.2771,0.061
"Item29",0.2382,0.1995
"Item30",0.159,0.3113
