,0,1,2,3,4,5,6
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,1.0,0.0,0.0,1.0,1.0,1.0,0.0
3,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,1.0,1.0,0.0,1.0,1.0,1.0,1.0
9,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,1.0,0.0,1.0,1.0,1.0,1.0,1.0
13,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0
17,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,1.0,1.0,0.0,1.0,1.0,1.0,0.0
21,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,1.0,1.0,0.0,1.0,1.0,1.0,1.0
23,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
31,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,1.0,1.0,1.0,1.0,0.0,1.0,1.0
33,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34,1.0,0.0,0.0,1.0,1.0,0.0,1.0
35,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,1.0,0.0,1.0,1.0,1.0,1.0,1.0
