Unnamed: 0,A1,A2,A3
0,0,0,1
1,0.0,1.0,1.0
2,0,1,1
3,0.0,0.0,1.0
4,0,0,1
5,0.0,0.0,1.0
6,0,0,1
7,0.0,1.0,1.0
8,1,0,1
9,0.0,0.0,1.0
10,0,0,1
11,0.0,0.0,1.0
12,0,1,1
13,0.0,0.0,1.0
14,0,0,1
15,0.0,0.0,1.0
16,0,0,1
17,0.0,0.0,0.0
18,1,0,1
19,1.0,1.0,1.0
20,0,0,1
21,0.0,1.0,1.0
22,0,1,0
23,0.0,0.0,1.0
24,0,0,1
25,0.0,0.0,1.0
26,0,0,1
27,0.0,0.0,0.0
28,0,0,1
29,0.0,0.0,1.0
30,0,1,1
31,1.0,0.0,0.0
32,0,0,1
33,0.0,0.0,0.0
34,1,0,0
35,0.0,0.0,1.0
36,0,1,1
37,0.0,0.0,1.0
38,0,0,1
39,0.0,0.0,1.0
40,0,1,1
41,0.0,0.0,1.0
42,0,1,1
43,0.0,1.0,1.0
44,0,0,1
45,0.0,0.0,1.0
46,0,0,0
47,0.0,1.0,1.0
48,0,1,1
49,0.0,0.0,0.0
50,0,0,1
51,0.0,1.0,1.0
52,0,1,1
53,0.0,0.0,1.0
54,0,0,0
55,1.0,1.0,1.0
56,0,0,1
57,1.0,1.0,1.0
58,1,0,0
59,0.0,0.0,0.0
60,0,0,1
61,0.0,1.0,1.0
62,0,0,1
63,0.0,1.0,1.0
64,0,0,1
65,0.0,0.0,1.0
66,0,1,1
67,0.0,0.0,0.0
68,1,1,1
69,0.0,0.0,1.0
70,0,1,1
71,0.0,0.0,1.0
72,0,0,1
73,0.0,0.0,1.0
74,0,0,0
75,0.0,1.0,1.0
76,0,1,1
77,0.0,1.0,1.0
78,0,1,1
79,1.0,0.0,1.0
80,0,1,1
81,1.0,0.0,1.0
82,0,0,1
83,0.0,0.0,1.0
84,0,0,1
85,0.0,0.0,0.0
86,0,0,0
87,1.0,0.0,0.0
88,0,1,1
89,0.0,0.0,1.0
90,0,0,1
91,0.0,0.0,1.0
92,0,0,1
93,0.0,1.0,1.0
94,0,0,1
95,1.0,1.0,1.0
96,0,1,1
97,1.0,0.0,1.0
98,0,1,0
99,0.0,0.0,1.0
100,0,0,0
101,1.0,0.0,1.0
102,0,0,1
103,0.0,1.0,1.0
104,0,0,1
105,0.0,1.0,1.0
106,0,0,0
107,0.0,0.0,1.0
108,0,0,1
109,0.0,1.0,0.0
110,0,1,0
111,0.0,0.0,1.0
112,0,1,1
113,0.0,0.0,0.0
114,1,1,1
115,1.0,1.0,1.0
116,0,1,1
117,0.0,0.0,0.0
118,0,0,1
119,0.0,0.0,0.0
120,0,1,0
121,0.0,0.0,1.0
122,0,0,1
123,1.0,1.0,1.0
124,0,0,1
125,0.0,0.0,1.0
126,0,1,1
127,0.0,0.0,0.0
128,1,1,1
129,1.0,0.0,1.0
130,0,1,1
131,0.0,0.0,1.0
132,0,1,1
133,0.0,0.0,0.0
134,1,1,1
135,1.0,1.0,1.0
136,1,1,1
137,0.0,0.0,1.0
138,0,1,1
139,0.0,0.0,1.0
140,0,0,1
141,1.0,1.0,1.0
142,0,0,0
143,0.0,1.0,1.0
144,0,0,0
145,0.0,0.0,0.0
