Unnamed: 0,A1,A2,A3,A4,A5
0,0,0,1,1,1
1,0.0,0.0,1.0,1.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0,0,0,1,0
4,0.0,1.0,1.0,1.0,1.0
5,1.0,1.0,0.0,1.0,1.0
6,0,1,0,1,1
7,0.0,1.0,0.0,1.0,1.0
8,0.0,0.0,0.0,0.0,0.0
9,1,1,1,0,1
10,0.0,0.0,0.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0
12,0,0,0,1,1
13,1.0,1.0,0.0,1.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0,1,1,1,1
16,1.0,1.0,1.0,1.0,1.0
17,0.0,1.0,1.0,1.0,0.0
18,0,0,0,1,1
19,0.0,1.0,1.0,1.0,1.0
20,0.0,1.0,1.0,1.0,1.0
21,0,1,0,1,1
22,0.0,1.0,1.0,1.0,1.0
23,0.0,0.0,0.0,0.0,0.0
24,0,0,0,0,1
25,1.0,0.0,0.0,1.0,0.0
26,0.0,1.0,0.0,1.0,1.0
27,1,0,1,0,1
28,0.0,0.0,0.0,0.0,0.0
29,0.0,1.0,1.0,1.0,0.0
30,1,0,0,0,1
31,0.0,1.0,1.0,1.0,0.0
32,0.0,1.0,1.0,1.0,1.0
33,0,0,0,0,1
34,0.0,1.0,0.0,1.0,1.0
35,0.0,0.0,0.0,1.0,1.0
36,0,1,0,1,1
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,0,0,1,0,1
40,0.0,0.0,0.0,0.0,0.0
41,1.0,1.0,1.0,1.0,1.0
42,0,1,1,1,1
43,0.0,1.0,1.0,1.0,0.0
44,0.0,0.0,0.0,1.0,1.0
45,0,0,0,0,1
46,0.0,1.0,0.0,0.0,1.0
47,0.0,0.0,0.0,1.0,0.0
48,0,0,1,1,1
49,1.0,1.0,1.0,1.0,1.0
50,0.0,1.0,1.0,0.0,0.0
51,0,1,1,1,0
52,0.0,0.0,0.0,1.0,0.0
53,0.0,0.0,0.0,0.0,1.0
54,0,0,1,1,0
55,1.0,1.0,1.0,1.0,1.0
56,0.0,1.0,1.0,1.0,1.0
57,0,0,0,1,1
58,0.0,0.0,0.0,1.0,1.0
59,0.0,1.0,0.0,1.0,1.0
60,0,1,1,1,1
61,1.0,1.0,1.0,1.0,0.0
62,0.0,1.0,1.0,1.0,1.0
63,1,1,1,1,1
64,0.0,1.0,0.0,0.0,0.0
65,1.0,1.0,1.0,1.0,1.0
66,0,1,1,1,1
67,1.0,1.0,1.0,1.0,1.0
68,1.0,1.0,0.0,1.0,1.0
69,0,1,0,1,1
70,0.0,0.0,1.0,0.0,0.0
71,1.0,0.0,0.0,1.0,0.0
72,1,1,1,1,0
73,0.0,0.0,0.0,1.0,1.0
74,1.0,0.0,0.0,1.0,0.0
75,0,1,0,0,1
76,1.0,0.0,0.0,1.0,0.0
77,0.0,0.0,0.0,0.0,1.0
78,0,0,1,1,1
79,0.0,0.0,0.0,0.0,0.0
80,0.0,1.0,1.0,1.0,1.0
81,0,1,1,1,1
82,0.0,1.0,0.0,1.0,1.0
83,1.0,0.0,0.0,0.0,0.0
84,0,0,0,1,1
85,0.0,1.0,1.0,1.0,0.0
86,0.0,0.0,0.0,1.0,0.0
87,0,1,1,1,1
88,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,1.0,0.0
90,1,0,1,1,1
91,1.0,1.0,1.0,1.0,1.0
92,0.0,0.0,0.0,0.0,0.0
93,1,0,1,1,1
94,0.0,1.0,0.0,1.0,1.0
95,1.0,0.0,0.0,1.0,1.0
96,0,0,1,1,1
97,1.0,1.0,1.0,1.0,1.0
98,0.0,0.0,1.0,0.0,0.0
99,0,1,0,1,1
100,0.0,1.0,1.0,1.0,0.0
101,0.0,0.0,0.0,1.0,0.0
102,1,0,1,1,1
103,0.0,0.0,0.0,0.0,1.0
104,1.0,1.0,1.0,1.0,1.0
105,0,0,0,1,1
106,1.0,1.0,1.0,1.0,1.0
107,0.0,1.0,0.0,1.0,1.0
108,0,1,1,1,1
109,1.0,1.0,1.0,1.0,1.0
110,0.0,0.0,0.0,0.0,0.0
111,0,0,0,1,1
112,0.0,0.0,1.0,1.0,0.0
113,0.0,1.0,0.0,1.0,1.0
114,0,0,0,0,1
115,0.0,1.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0
117,1,1,1,1,1
118,0.0,1.0,0.0,1.0,1.0
119,0.0,0.0,0.0,0.0,0.0
120,0,0,0,1,1
121,0.0,1.0,0.0,1.0,1.0
122,0.0,1.0,1.0,1.0,1.0
123,0,1,1,1,1
124,0.0,0.0,0.0,0.0,0.0
125,0.0,1.0,1.0,0.0,1.0
126,0,0,0,1,1
127,0.0,0.0,0.0,1.0,1.0
128,0.0,1.0,0.0,1.0,0.0
129,1,1,1,1,1
130,0.0,0.0,0.0,1.0,0.0
131,0.0,1.0,1.0,1.0,1.0
132,0,1,0,0,0
133,0.0,1.0,1.0,1.0,1.0
134,0.0,1.0,0.0,1.0,1.0
135,0,0,1,0,1
136,1.0,1.0,1.0,1.0,1.0
137,0.0,0.0,0.0,1.0,0.0
138,0,0,1,1,1
139,1.0,0.0,1.0,1.0,0.0
140,0.0,0.0,0.0,1.0,0.0
141,0,0,1,1,1
142,1.0,1.0,1.0,1.0,1.0
143,0.0,0.0,0.0,0.0,0.0
144,0,0,1,1,1
145,1.0,0.0,0.0,1.0,0.0
146,0.0,0.0,0.0,1.0,0.0
147,0,0,1,0,1
148,0.0,1.0,0.0,1.0,1.0
149,0.0,0.0,0.0,1.0,1.0
150,1,0,1,1,1
151,0.0,1.0,1.0,0.0,1.0
152,1.0,1.0,1.0,1.0,1.0
153,0,1,1,1,1
154,1.0,0.0,0.0,1.0,1.0
155,1.0,1.0,1.0,1.0,1.0
156,0,0,1,1,1
157,1.0,0.0,0.0,1.0,1.0
158,0.0,1.0,1.0,1.0,1.0
159,0,0,0,1,1
160,1.0,1.0,1.0,1.0,1.0
161,0.0,0.0,0.0,1.0,0.0
162,0,0,1,1,1
