"","P(0)","1-P(1)"
"Item1",0.0791,0.0287
"Item2",0.0065,0.1155
"Item3",0.144,0.0698
"Item4",0.0195,0.042
"Item5",0.1132,0.0933
"Item6",0.0586,0.1371
"Item7",0.0498,0.1281
"Item8",0.0205,0.0486
"Item9",0.147,0.0154
"Item10",0.114,0.1389
"Item11",0.12,0.0483
"Item12",0.0128,0.1227
"Item13",0.0682,0.1046
"Item14",0.1153,0.1056
"Item15",0.0172,0.0775
"Item16",0.1251,0.0336
"Item17",0.0826,0.068
"Item18",0.0496,0.056
"Item19",0.0675,0.1391
"Item20",0.0345,0.0646
"Item21",0.0127,0.0375
"Item22",0.1318,0.1458
"Item23",0.1139,0.0251
"Item24",0.0077,0.0513
"Item25",0.0799,0.0553
"Item26",0.0528,0.1252
"Item27",0.0811,0.0538
"Item28",0.0745,0.13
"Item29",0.0811,0.1402
"Item30",0.0898,0.0792
