"","A1","A2","A3"
"ID1",0,1,1
"ID2",0,0,1
"ID3",0,0,1
"ID4",0,0,1
"ID5",0,1,1
"ID6",0,0,1
"ID7",0,1,1
"ID8",0,1,1
"ID9",0,1,1
"ID10",0,1,1
"ID11",1,1,1
"ID12",0,1,1
"ID13",1,0,1
"ID14",0,0,1
"ID15",0,1,1
"ID16",0,1,1
"ID17",0,0,1
"ID18",0,1,1
"ID19",0,0,1
"ID20",1,0,1
"ID21",0,0,0
"ID22",0,0,1
"ID23",1,1,1
"ID24",0,0,1
"ID25",1,0,0
"ID26",0,1,0
"ID27",0,1,1
"ID28",0,0,0
"ID29",1,1,1
"ID30",0,0,1
"ID31",0,0,1
"ID32",0,0,1
"ID33",0,0,1
"ID34",0,0,1
"ID35",1,0,0
"ID36",0,1,1
"ID37",0,0,0
"ID38",0,0,0
"ID39",0,1,1
"ID40",0,1,1
"ID41",0,0,1
"ID42",0,1,1
"ID43",0,0,1
"ID44",0,0,1
"ID45",0,0,1
"ID46",0,1,0
"ID47",0,0,1
"ID48",0,1,0
"ID49",0,0,1
"ID50",0,1,1
"ID51",0,0,1
"ID52",0,0,1
"ID53",0,0,1
"ID54",0,0,1
"ID55",0,0,1
"ID56",0,0,1
"ID57",0,0,1
"ID58",0,1,0
"ID59",0,1,1
"ID60",0,1,1
"ID61",1,1,1
"ID62",0,0,0
"ID63",0,1,1
"ID64",0,1,1
"ID65",0,0,1
"ID66",0,1,1
"ID67",0,0,0
"ID68",0,1,1
"ID69",0,0,1
"ID70",0,0,1
"ID71",1,0,1
"ID72",0,1,1
"ID73",0,1,1
"ID74",0,1,1
"ID75",0,1,1
"ID76",0,0,0
"ID77",0,1,1
"ID78",0,1,0
"ID79",0,0,1
"ID80",0,0,1
"ID81",0,1,1
"ID82",1,0,1
"ID83",0,0,1
"ID84",0,1,1
"ID85",0,0,0
"ID86",0,1,0
"ID87",0,1,1
"ID88",0,0,1
"ID89",0,1,1
"ID90",0,0,1
"ID91",1,0,1
"ID92",0,1,1
"ID93",1,0,1
"ID94",0,0,1
"ID95",0,0,1
"ID96",0,1,1
"ID97",0,1,1
"ID98",0,0,1
"ID99",1,1,1
"ID100",0,0,1
"ID101",1,1,1
"ID102",1,0,1
"ID103",0,0,0
"ID104",0,0,1
"ID105",0,1,1
"ID106",1,1,1
"ID107",0,1,1
"ID108",0,1,1
"ID109",0,1,1
"ID110",0,0,1
"ID111",1,1,1
"ID112",0,0,1
"ID113",0,1,1
"ID114",0,0,1
"ID115",0,1,0
"ID116",0,0,1
"ID117",0,0,1
"ID118",0,0,1
"ID119",0,1,1
"ID120",0,0,0
"ID121",0,1,1
"ID122",0,0,1
"ID123",0,0,1
"ID124",0,0,1
"ID125",0,0,0
"ID126",1,1,1
"ID127",0,1,1
"ID128",0,1,1
"ID129",0,0,1
"ID130",0,0,0
"ID131",1,1,1
"ID132",0,0,1
"ID133",0,1,1
"ID134",0,0,1
"ID135",0,0,1
"ID136",0,1,1
"ID137",0,1,1
"ID138",1,1,1
"ID139",0,0,1
"ID140",0,1,1
"ID141",0,0,1
"ID142",1,0,1
"ID143",0,0,1
"ID144",0,0,1
"ID145",0,0,1
"ID146",0,1,1
"ID147",1,1,1
"ID148",1,1,1
"ID149",1,1,1
"ID150",0,1,1
"ID151",0,0,0
"ID152",0,1,1
"ID153",0,1,1
"ID154",0,0,1
"ID155",0,0,1
"ID156",0,0,1
"ID157",0,1,1
"ID158",0,1,1
"ID159",0,0,1
"ID160",0,0,0
"ID161",0,0,1
"ID162",0,1,1
"ID163",0,1,1
"ID164",0,0,1
"ID165",1,1,1
"ID166",0,0,0
"ID167",0,0,1
"ID168",0,1,1
"ID169",0,1,1
"ID170",0,0,1
"ID171",0,1,1
"ID172",0,1,0
"ID173",0,1,1
"ID174",1,0,1
"ID175",1,1,1
"ID176",0,0,1
"ID177",0,0,1
"ID178",1,1,1
"ID179",0,1,1
"ID180",1,1,1
"ID181",0,0,1
"ID182",0,1,1
"ID183",1,1,1
"ID184",0,0,1
"ID185",1,0,1
"ID186",0,0,1
"ID187",0,0,1
"ID188",0,0,1
"ID189",0,1,1
"ID190",0,0,0
"ID191",0,1,1
"ID192",0,1,1
"ID193",0,0,0
"ID194",0,1,1
"ID195",0,1,1
"ID196",0,1,1
"ID197",0,0,1
"ID198",0,1,1
"ID199",0,0,1
"ID200",0,0,0
"ID201",0,1,0
"ID202",0,1,1
"ID203",0,1,1
"ID204",0,0,1
"ID205",0,0,1
"ID206",0,1,1
"ID207",0,1,1
"ID208",0,0,0
"ID209",0,0,1
"ID210",0,0,1
"ID211",1,1,1
"ID212",0,1,1
"ID213",0,1,1
"ID214",0,0,1
"ID215",0,0,0
"ID216",0,0,1
"ID217",0,1,0
"ID218",0,1,1
"ID219",1,0,0
"ID220",1,1,1
"ID221",0,0,1
"ID222",0,0,1
"ID223",0,1,1
"ID224",1,1,1
"ID225",0,0,1
"ID226",1,1,1
"ID227",0,0,1
"ID228",0,0,0
"ID229",0,0,1
"ID230",0,0,1
"ID231",0,1,1
"ID232",0,1,1
"ID233",0,0,0
"ID234",1,0,1
"ID235",0,1,1
"ID236",1,1,1
"ID237",0,1,1
"ID238",1,0,1
"ID239",0,0,1
"ID240",0,1,1
"ID241",0,1,1
"ID242",0,0,1
"ID243",0,0,1
"ID244",0,1,1
"ID245",0,0,1
"ID246",0,1,0
"ID247",0,0,1
"ID248",0,1,1
"ID249",1,1,0
"ID250",0,1,1
"ID251",0,0,1
"ID252",0,1,1
"ID253",1,1,1
"ID254",0,0,1
"ID255",0,0,1
"ID256",0,0,1
"ID257",0,1,1
"ID258",1,1,1
"ID259",0,1,1
"ID260",0,0,1
"ID261",0,1,1
"ID262",0,1,1
"ID263",0,1,1
"ID264",1,0,1
"ID265",0,0,1
"ID266",0,0,1
"ID267",0,0,0
"ID268",0,0,1
"ID269",0,1,1
"ID270",0,1,1
"ID271",0,0,1
"ID272",1,0,1
"ID273",1,1,1
"ID274",0,1,1
"ID275",1,1,1
"ID276",0,0,0
"ID277",0,1,1
"ID278",0,1,1
"ID279",0,1,1
"ID280",0,1,1
"ID281",0,0,1
"ID282",0,0,1
"ID283",1,1,1
"ID284",0,0,0
"ID285",0,0,1
"ID286",0,0,1
"ID287",0,0,1
"ID288",1,1,1
"ID289",0,1,1
"ID290",0,0,1
"ID291",1,1,1
"ID292",0,1,1
"ID293",0,0,0
"ID294",0,0,1
"ID295",0,1,0
"ID296",0,1,1
"ID297",1,0,1
"ID298",0,0,1
"ID299",0,1,1
"ID300",0,1,1
"ID301",0,1,1
"ID302",0,1,1
"ID303",0,1,1
"ID304",0,0,1
"ID305",0,1,1
"ID306",0,0,1
"ID307",0,0,0
"ID308",1,0,1
"ID309",0,1,1
"ID310",0,1,1
"ID311",0,1,1
"ID312",0,0,1
"ID313",0,1,1
"ID314",0,1,1
"ID315",0,1,0
"ID316",0,0,1
"ID317",1,1,1
"ID318",1,0,1
"ID319",0,1,1
"ID320",0,1,1
"ID321",0,0,1
"ID322",0,1,1
"ID323",0,0,1
"ID324",0,0,1
"ID325",0,0,1
"ID326",0,0,1
"ID327",0,0,1
"ID328",0,1,1
"ID329",0,0,1
"ID330",1,0,1
"ID331",0,0,1
"ID332",0,1,1
"ID333",0,1,1
"ID334",0,1,1
"ID335",0,1,1
"ID336",1,0,1
"ID337",0,0,1
"ID338",0,0,1
"ID339",0,0,1
"ID340",0,1,1
"ID341",0,1,1
"ID342",0,1,1
"ID343",0,0,0
"ID344",0,0,1
"ID345",0,1,1
"ID346",0,0,1
"ID347",1,0,1
"ID348",1,0,1
"ID349",0,0,0
"ID350",0,0,1
"ID351",1,0,1
"ID352",0,1,0
"ID353",0,1,0
"ID354",0,1,1
"ID355",0,0,1
"ID356",1,0,1
"ID357",0,0,1
"ID358",0,0,0
"ID359",0,1,1
"ID360",0,0,1
"ID361",0,1,1
"ID362",0,0,1
"ID363",0,0,0
"ID364",0,1,1
"ID365",0,1,1
"ID366",1,1,1
"ID367",0,0,1
"ID368",0,0,1
"ID369",1,1,1
"ID370",0,1,1
"ID371",0,0,1
"ID372",1,1,1
"ID373",0,1,1
"ID374",0,1,1
"ID375",1,0,1
"ID376",0,0,1
"ID377",0,0,1
"ID378",0,0,0
"ID379",0,0,0
"ID380",0,1,1
"ID381",1,0,1
"ID382",1,0,1
"ID383",1,1,1
"ID384",0,1,1
"ID385",0,0,1
"ID386",0,1,1
"ID387",0,0,1
"ID388",1,1,1
"ID389",0,0,1
"ID390",1,1,1
"ID391",1,1,1
"ID392",1,1,1
"ID393",0,0,1
"ID394",0,1,1
"ID395",0,0,0
"ID396",0,1,1
"ID397",0,0,1
"ID398",0,1,1
"ID399",0,0,1
"ID400",0,1,1
"ID401",0,0,1
"ID402",0,1,1
"ID403",0,0,1
"ID404",0,0,0
"ID405",0,1,1
"ID406",0,0,1
"ID407",0,1,0
"ID408",0,1,1
"ID409",0,0,1
"ID410",0,1,1
"ID411",0,0,1
"ID412",0,1,0
"ID413",0,1,1
"ID414",0,1,1
"ID415",0,1,1
"ID416",0,1,1
"ID417",0,1,1
"ID418",0,1,1
"ID419",0,0,1
"ID420",0,0,0
"ID421",0,0,1
"ID422",1,1,1
"ID423",1,0,1
"ID424",1,1,1
"ID425",0,1,1
"ID426",0,0,1
"ID427",0,1,1
"ID428",0,0,0
"ID429",0,0,1
"ID430",0,1,1
"ID431",0,0,0
"ID432",0,1,1
"ID433",0,1,1
"ID434",0,0,1
"ID435",0,1,0
"ID436",0,0,1
"ID437",0,0,1
"ID438",0,0,1
"ID439",1,0,1
"ID440",0,1,1
"ID441",0,1,1
"ID442",0,1,1
"ID443",0,1,1
"ID444",0,0,1
"ID445",0,1,1
"ID446",0,1,1
"ID447",0,1,1
"ID448",0,1,1
"ID449",0,0,1
"ID450",0,1,1
"ID451",0,0,1
"ID452",0,1,1
"ID453",0,0,1
"ID454",1,1,1
"ID455",1,0,1
"ID456",0,1,1
"ID457",0,1,1
"ID458",0,1,1
"ID459",0,1,1
"ID460",0,1,1
"ID461",0,1,1
"ID462",0,1,1
"ID463",0,0,1
"ID464",0,0,1
"ID465",0,1,1
"ID466",0,0,1
"ID467",0,0,1
"ID468",0,1,0
"ID469",1,0,1
"ID470",0,0,1
"ID471",0,1,1
"ID472",0,1,1
"ID473",0,0,1
"ID474",0,0,1
"ID475",0,1,1
"ID476",0,1,1
"ID477",0,0,1
"ID478",0,0,1
"ID479",0,1,1
"ID480",0,0,1
"ID481",0,0,1
"ID482",0,0,1
"ID483",1,1,1
"ID484",0,1,1
"ID485",0,0,1
"ID486",0,0,1
"ID487",1,1,1
"ID488",1,0,1
"ID489",1,0,1
"ID490",0,1,1
"ID491",0,0,1
"ID492",0,1,1
"ID493",0,1,1
"ID494",0,1,1
"ID495",0,0,1
"ID496",0,1,1
"ID497",1,1,1
"ID498",0,1,1
"ID499",0,1,1
"ID500",0,0,0
"ID501",0,0,1
"ID502",0,1,1
"ID503",0,0,1
"ID504",0,1,1
"ID505",0,0,1
"ID506",1,1,1
"ID507",0,0,1
"ID508",0,0,0
"ID509",0,1,1
"ID510",1,1,1
"ID511",0,1,1
"ID512",0,1,1
"ID513",1,0,1
"ID514",0,1,1
"ID515",1,0,1
"ID516",0,0,1
"ID517",0,0,1
"ID518",0,1,1
"ID519",0,1,1
"ID520",0,0,0
"ID521",0,1,1
"ID522",0,1,0
"ID523",0,0,1
"ID524",0,0,1
"ID525",0,0,1
"ID526",0,0,1
"ID527",0,0,0
"ID528",0,0,1
"ID529",0,1,1
"ID530",0,0,1
"ID531",0,1,1
"ID532",0,0,1
"ID533",0,0,0
"ID534",0,0,1
"ID535",0,0,1
"ID536",1,1,1
"ID537",0,1,1
"ID538",0,1,1
"ID539",1,1,1
"ID540",0,1,1
"ID541",0,0,1
"ID542",1,1,1
"ID543",0,1,0
"ID544",0,1,0
"ID545",0,0,1
"ID546",0,1,1
"ID547",0,1,0
"ID548",0,0,0
"ID549",0,0,1
"ID550",0,0,0
"ID551",0,0,1
"ID552",0,1,1
"ID553",1,1,1
"ID554",0,1,1
"ID555",0,0,1
"ID556",0,1,1
"ID557",0,1,1
"ID558",0,0,0
"ID559",1,1,0
"ID560",0,1,1
"ID561",0,0,1
"ID562",0,0,1
"ID563",1,1,1
"ID564",0,0,1
"ID565",0,1,1
"ID566",0,0,1
"ID567",0,0,1
