"","P(0)","1-P(1)"
"Item1",0.1931,0.2031
"Item2",0.2491,0.255
"Item3",0.2367,0.261
"Item4",0.2344,0.167
"Item5",0.2411,0.2029
"Item6",0.1818,0.1985
"Item7",0.2748,0.171
"Item8",0.2706,0.2929
"Item9",0.2199,0.244
"Item10",0.2329,0.1984
"Item11",0.1612,0.2099
"Item12",0.2929,0.16
"Item13",0.2115,0.2944
"Item14",0.1791,0.1779
"Item15",0.2594,0.1696
"Item16",0.2187,0.2376
"Item17",0.2341,0.2521
"Item18",0.2669,0.2078
"Item19",0.1978,0.2406
"Item20",0.1592,0.1708
"Item21",0.2587,0.1552
"Item22",0.2847,0.1563
"Item23",0.1719,0.2409
"Item24",0.2717,0.2719
"Item25",0.1718,0.1697
"Item26",0.2062,0.2713
"Item27",0.2587,0.2904
"Item28",0.1529,0.2364
"Item29",0.1987,0.2728
"Item30",0.2173,0.2266
