Unnamed: 0,A1,A2,A3,A4,A5
0,0,1,0,1,1
1,1.0,1.0,1.0,1.0,1.0
2,0,1,0,1,1
3,0.0,1.0,0.0,1.0,1.0
4,1,0,1,1,1
5,1.0,0.0,0.0,1.0,1.0
6,1,0,1,1,1
7,0.0,0.0,0.0,0.0,1.0
8,0,1,1,1,1
9,1.0,0.0,1.0,1.0,0.0
10,1,0,1,1,1
11,1.0,1.0,1.0,1.0,1.0
12,0,1,1,0,1
13,0.0,0.0,0.0,0.0,1.0
14,1,1,0,0,1
15,1.0,1.0,1.0,1.0,1.0
16,0,1,1,1,1
17,1.0,1.0,1.0,1.0,1.0
18,0,0,0,0,1
19,1.0,0.0,1.0,1.0,1.0
20,0,0,0,1,1
21,0.0,1.0,0.0,0.0,0.0
22,0,0,1,0,1
23,0.0,1.0,0.0,1.0,1.0
24,0,0,0,0,0
25,0.0,0.0,0.0,0.0,0.0
26,0,0,0,0,1
27,0.0,0.0,0.0,1.0,1.0
28,1,1,0,1,1
29,1.0,1.0,1.0,1.0,1.0
30,0,1,1,1,1
31,1.0,1.0,1.0,1.0,0.0
32,0,0,0,1,1
33,1.0,1.0,1.0,1.0,1.0
34,0,0,1,1,1
35,0.0,1.0,1.0,1.0,1.0
36,0,0,0,1,1
37,1.0,1.0,1.0,1.0,1.0
38,0,0,0,0,1
39,1.0,0.0,0.0,1.0,1.0
40,1,1,1,1,1
41,1.0,0.0,1.0,1.0,1.0
42,1,0,0,1,1
43,0.0,0.0,0.0,1.0,1.0
44,0,1,0,0,1
45,0.0,0.0,0.0,0.0,1.0
46,1,0,1,1,1
47,0.0,0.0,1.0,1.0,0.0
48,1,0,0,1,1
49,1.0,1.0,1.0,1.0,1.0
