Unnamed: 0,A1,A2,A3,A4,A5
0,0,0,0,0,1
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,0,0,0,0,1
4,0.0,1.0,1.0,1.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0,1,1,1,1
7,0.0,0.0,0.0,1.0,0.0
8,1.0,0.0,1.0,1.0,1.0
9,0,0,0,1,1
10,0.0,0.0,0.0,0.0,1.0
11,1.0,1.0,1.0,1.0,1.0
12,0,0,1,1,1
13,0.0,1.0,1.0,0.0,1.0
14,0.0,1.0,1.0,1.0,0.0
15,1,1,1,1,1
16,1.0,0.0,0.0,1.0,1.0
17,1.0,0.0,1.0,1.0,1.0
18,1,0,1,0,1
19,1.0,0.0,1.0,1.0,1.0
20,1.0,1.0,0.0,0.0,0.0
21,0,0,0,1,1
22,0.0,0.0,0.0,0.0,1.0
23,1.0,1.0,1.0,1.0,1.0
24,1,0,0,1,1
25,0.0,1.0,1.0,1.0,0.0
26,1.0,1.0,1.0,1.0,1.0
27,0,0,0,0,1
28,0.0,0.0,0.0,0.0,0.0
29,1.0,1.0,1.0,1.0,1.0
30,0,0,0,0,0
31,1.0,0.0,0.0,1.0,0.0
32,1.0,1.0,1.0,1.0,1.0
33,0,0,1,0,1
34,1.0,0.0,0.0,1.0,1.0
35,1.0,0.0,0.0,1.0,1.0
36,0,1,1,1,1
37,1.0,1.0,1.0,1.0,1.0
38,0.0,0.0,0.0,1.0,1.0
39,0,0,0,1,1
40,1.0,1.0,0.0,1.0,1.0
41,1.0,0.0,0.0,1.0,1.0
42,1,0,1,1,1
43,0.0,0.0,0.0,0.0,0.0
44,1.0,0.0,1.0,1.0,1.0
45,0,0,0,0,1
46,1.0,0.0,1.0,0.0,1.0
47,0.0,1.0,0.0,1.0,1.0
48,0,0,0,0,0
49,0.0,1.0,0.0,1.0,1.0
