"","P(0)","1-P(1)"
"Item1",0.1437,0.0929
"Item2",0.1314,0.1124
"Item3",0.1106,0.1489
"Item4",0.0896,0.0419
"Item5",0.0803,0.0663
"Item6",0.0684,0.0733
"Item7",0.041,0.0776
"Item8",0.0462,0.0365
"Item9",0.0184,0.0126
"Item10",0.0795,0.0272
"Item11",0.1276,0.0761
"Item12",0.1249,0.1186
"Item13",0.0312,0.1224
"Item14",0.0276,0.1028
"Item15",0.0151,0.1211
"Item16",0.1376,0.1039
"Item17",0.0603,0.013
"Item18",0.1102,0.0238
"Item19",0.1176,0.1091
"Item20",0.0734,0.0823
"Item21",0.1358,0.1318
"Item22",0.1049,0.0419
"Item23",0.1289,0.0771
"Item24",0.1148,0.0142
"Item25",0.1271,0.0164
"Item26",0.0667,0.0865
"Item27",0.1323,0.0703
"Item28",0.1372,0.0253
"Item29",0.033,0.0246
"Item30",0.0825,0.1448
