Unnamed: 0,A1,A2,A3
0,1,0,1
1,1.0,1.0,1.0
2,0,0,1
3,0.0,1.0,1.0
4,0,1,1
5,1.0,0.0,1.0
6,0,0,1
7,1.0,0.0,1.0
8,0,0,1
9,0.0,1.0,1.0
10,0,1,1
11,1.0,0.0,0.0
12,0,1,1
13,0.0,1.0,1.0
14,0,1,1
15,0.0,0.0,1.0
16,0,0,1
17,0.0,0.0,0.0
18,0,0,0
19,1.0,0.0,0.0
20,0,0,0
21,0.0,1.0,1.0
22,0,0,0
23,1.0,0.0,1.0
24,0,0,1
25,0.0,1.0,1.0
26,1,0,1
27,0.0,1.0,1.0
28,1,0,1
29,1.0,0.0,1.0
30,0,0,1
31,1.0,1.0,1.0
32,0,1,1
33,1.0,0.0,1.0
34,1,1,1
35,0.0,1.0,1.0
36,0,1,1
37,0.0,0.0,1.0
38,0,1,1
39,0.0,1.0,1.0
40,0,0,1
41,0.0,0.0,0.0
42,0,1,1
43,0.0,1.0,1.0
44,0,1,1
45,1.0,1.0,1.0
46,0,0,1
47,0.0,0.0,1.0
48,0,1,1
49,1.0,0.0,1.0
