"","P(0)","1-P(1)"
"Item1",0.1962,0.2586
"Item2",0.2059,0.2413
"Item3",0.2723,0.2717
"Item4",0.2031,0.2473
"Item5",0.2589,0.261
"Item6",0.1511,0.2812
"Item7",0.2015,0.2019
"Item8",0.2373,0.248
"Item9",0.1833,0.2074
"Item10",0.2067,0.2618
"Item11",0.2719,0.2085
"Item12",0.2579,0.2687
"Item13",0.2848,0.2946
"Item14",0.1977,0.2703
"Item15",0.2539,0.2059
"Item16",0.2411,0.1941
"Item17",0.2504,0.2187
"Item18",0.2954,0.1581
"Item19",0.267,0.289
"Item20",0.1722,0.1629
"Item21",0.206,0.2535
"Item22",0.2935,0.1968
"Item23",0.2181,0.2814
"Item24",0.2824,0.2695
"Item25",0.212,0.2328
"Item26",0.2161,0.1884
"Item27",0.2059,0.2821
"Item28",0.261,0.2693
"Item29",0.1549,0.2774
"Item30",0.15,0.2101
