"","P(0)","1-P(1)"
"Item1",0.2263,0.2559
"Item2",0.2126,0.287
"Item3",0.2664,0.2342
"Item4",0.2505,0.2653
"Item5",0.2854,0.1851
"Item6",0.2862,0.2364
"Item7",0.1878,0.2728
"Item8",0.2199,0.2993
"Item9",0.2519,0.1611
"Item10",0.1902,0.2326
"Item11",0.2216,0.2369
"Item12",0.2888,0.19
"Item13",0.1788,0.2177
"Item14",0.2051,0.1613
"Item15",0.2706,0.1626
"Item16",0.2588,0.1839
"Item17",0.2773,0.2967
"Item18",0.2551,0.2974
"Item19",0.1728,0.2633
"Item20",0.2102,0.1802
"Item21",0.2624,0.2054
"Item22",0.2689,0.2316
"Item23",0.2124,0.1935
"Item24",0.193,0.2294
"Item25",0.256,0.2586
"Item26",0.1926,0.2264
"Item27",0.1776,0.25
"Item28",0.2367,0.1833
"Item29",0.1602,0.1541
"Item30",0.1716,0.1669
