Unnamed: 0,A1,A2,A3,A4,A5
0,0,0,0,0,1
1,1.0,1.0,0.0,1.0,0.0
2,1.0,0.0,1.0,1.0,1.0
3,0,1,1,1,1
4,1.0,1.0,1.0,1.0,1.0
5,0.0,0.0,0.0,1.0,0.0
6,0,0,1,1,0
7,1.0,1.0,1.0,1.0,1.0
8,0.0,1.0,0.0,1.0,1.0
9,0,0,1,1,1
10,0.0,0.0,0.0,0.0,0.0
11,0.0,1.0,1.0,1.0,1.0
12,0,0,0,1,1
13,1.0,1.0,0.0,0.0,1.0
14,1.0,1.0,1.0,1.0,1.0
15,0,1,1,1,1
16,0.0,1.0,0.0,1.0,1.0
17,0.0,0.0,0.0,0.0,0.0
18,0,0,0,1,1
19,1.0,1.0,0.0,0.0,1.0
20,1.0,1.0,1.0,1.0,0.0
21,0,0,1,0,1
22,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,0.0
24,0,0,0,0,1
25,0.0,1.0,0.0,1.0,1.0
26,0.0,0.0,0.0,0.0,1.0
27,0,0,0,0,1
28,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0
30,0,1,1,1,0
31,0.0,0.0,0.0,1.0,0.0
32,1.0,1.0,1.0,1.0,1.0
33,0,0,0,1,1
34,0.0,0.0,0.0,0.0,1.0
35,0.0,1.0,0.0,1.0,0.0
36,0,1,0,1,1
37,0.0,1.0,1.0,1.0,1.0
38,0.0,1.0,0.0,1.0,1.0
39,0,0,1,0,1
40,1.0,1.0,1.0,1.0,1.0
41,0.0,1.0,0.0,1.0,1.0
42,0,0,0,1,1
43,1.0,0.0,1.0,0.0,1.0
44,0.0,0.0,0.0,1.0,1.0
45,0,1,1,0,1
46,1.0,1.0,1.0,1.0,1.0
47,0.0,0.0,0.0,1.0,1.0
48,0,0,1,0,0
49,0.0,1.0,0.0,1.0,1.0
50,0.0,0.0,0.0,0.0,1.0
51,0,0,1,1,1
52,1.0,0.0,0.0,0.0,1.0
53,0.0,1.0,1.0,1.0,1.0
54,0,0,1,1,1
55,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0
57,0,0,1,1,1
58,0.0,0.0,0.0,0.0,0.0
59,1.0,0.0,0.0,1.0,1.0
60,0,0,1,1,1
61,0.0,1.0,1.0,0.0,1.0
62,1.0,1.0,1.0,1.0,1.0
63,0,1,1,1,1
64,1.0,1.0,0.0,0.0,1.0
65,0.0,0.0,0.0,1.0,0.0
66,0,1,0,1,1
67,0.0,0.0,0.0,1.0,1.0
68,1.0,1.0,1.0,1.0,1.0
69,1,0,0,1,1
70,0.0,0.0,0.0,1.0,1.0
71,1.0,1.0,0.0,1.0,1.0
72,0,0,1,1,1
73,0.0,0.0,0.0,0.0,1.0
74,1.0,1.0,1.0,1.0,1.0
75,0,0,1,1,1
76,0.0,0.0,0.0,1.0,1.0
77,0.0,0.0,0.0,0.0,0.0
78,0,0,0,1,1
79,1.0,1.0,0.0,1.0,1.0
80,1.0,0.0,1.0,0.0,0.0
81,0,0,0,1,1
82,0.0,1.0,0.0,0.0,0.0
83,1.0,1.0,1.0,1.0,1.0
84,1,0,0,1,1
85,0.0,1.0,0.0,1.0,1.0
86,0.0,1.0,0.0,0.0,0.0
