"","P(0)","1-P(1)"
"Item1",0.2207,0.1886
"Item2",0.1837,0.2433
"Item3",0.2804,0.1728
"Item4",0.267,0.246
"Item5",0.2219,0.1712
"Item6",0.1997,0.2398
"Item7",0.2311,0.1839
"Item8",0.2328,0.2423
"Item9",0.224,0.1563
"Item10",0.1811,0.2267
"Item11",0.2036,0.2382
"Item12",0.2638,0.1711
"Item13",0.1927,0.2028
"Item14",0.296,0.2996
"Item15",0.169,0.2018
"Item16",0.3,0.2141
"Item17",0.2096,0.171
"Item18",0.2706,0.1763
"Item19",0.2555,0.2772
"Item20",0.1741,0.2762
"Item21",0.1608,0.2825
"Item22",0.1783,0.2734
"Item23",0.1958,0.2599
"Item24",0.1849,0.2469
"Item25",0.15,0.1603
"Item26",0.2963,0.1714
"Item27",0.1517,0.1878
"Item28",0.2762,0.2988
"Item29",0.2343,0.1974
"Item30",0.2477,0.2479
