"","A1","A2","A3"
"ID1",0,1,1
"ID2",0,1,1
"ID3",0,1,1
"ID4",0,0,1
"ID5",0,1,1
"ID6",0,1,1
"ID7",0,1,1
"ID8",0,1,1
"ID9",0,0,1
"ID10",0,1,1
"ID11",0,1,1
"ID12",0,0,0
"ID13",1,0,1
"ID14",0,0,0
"ID15",1,1,0
"ID16",0,1,0
"ID17",1,0,1
"ID18",0,0,1
"ID19",0,1,1
"ID20",0,1,1
"ID21",0,0,1
"ID22",0,1,1
"ID23",0,0,0
"ID24",0,1,1
"ID25",0,0,1
"ID26",1,1,1
"ID27",0,0,1
"ID28",1,0,1
"ID29",0,0,1
"ID30",1,0,1
"ID31",0,1,0
"ID32",0,0,1
"ID33",0,0,1
"ID34",0,0,0
"ID35",0,0,1
"ID36",0,1,1
"ID37",0,0,1
"ID38",1,1,1
"ID39",0,0,1
"ID40",0,1,1
"ID41",0,1,1
"ID42",1,0,1
"ID43",0,1,1
"ID44",1,0,1
"ID45",0,1,1
"ID46",0,0,1
"ID47",0,1,1
"ID48",0,0,1
"ID49",0,1,1
"ID50",0,0,1
"ID51",1,1,1
"ID52",0,1,1
"ID53",0,1,1
"ID54",0,1,1
"ID55",0,0,1
"ID56",0,0,1
"ID57",1,1,0
"ID58",1,0,1
"ID59",0,0,1
"ID60",0,1,0
"ID61",0,1,1
"ID62",0,0,1
"ID63",1,0,1
"ID64",1,0,1
"ID65",0,0,1
"ID66",0,0,1
"ID67",0,0,0
"ID68",1,1,1
"ID69",0,1,1
"ID70",0,1,1
"ID71",0,1,1
"ID72",0,0,1
"ID73",0,0,1
"ID74",0,0,0
"ID75",0,1,1
"ID76",0,0,1
"ID77",0,0,0
"ID78",0,0,1
"ID79",0,1,1
"ID80",0,1,1
"ID81",0,1,0
"ID82",0,1,1
"ID83",0,1,1
"ID84",1,1,1
"ID85",1,1,1
"ID86",0,1,1
"ID87",0,0,1
"ID88",0,0,0
"ID89",1,1,1
"ID90",0,1,1
"ID91",0,0,1
"ID92",0,1,1
"ID93",1,1,1
"ID94",0,0,1
"ID95",1,0,1
"ID96",0,0,1
"ID97",0,0,1
"ID98",1,1,1
"ID99",0,1,1
"ID100",0,1,1
