Unnamed: 0,A1,A2,A3
0,0,0,1
1,0.0,0.0,1.0
2,0.0,0.0,1.0
3,0,0,1
4,1.0,1.0,0.0
5,1.0,1.0,1.0
6,0,0,1
7,1.0,1.0,1.0
8,0.0,1.0,1.0
9,1,0,1
10,0.0,1.0,0.0
11,1.0,0.0,1.0
12,0,1,1
13,1.0,0.0,1.0
14,0.0,1.0,1.0
15,0,0,1
16,0.0,0.0,1.0
17,1.0,1.0,1.0
18,0,0,1
19,0.0,1.0,1.0
20,0.0,1.0,1.0
21,0,0,1
22,1.0,1.0,1.0
23,0.0,1.0,1.0
24,0,0,1
25,1.0,0.0,0.0
26,0.0,1.0,1.0
27,0,1,1
28,0.0,0.0,1.0
29,1.0,1.0,0.0
30,0,1,1
31,0.0,0.0,1.0
32,0.0,1.0,1.0
33,0,1,1
34,0.0,0.0,1.0
35,1.0,0.0,1.0
36,0,0,1
37,1.0,0.0,1.0
38,0.0,1.0,1.0
39,0,0,1
40,0.0,0.0,1.0
41,1.0,0.0,1.0
42,0,1,1
43,0.0,1.0,0.0
44,0.0,1.0,1.0
45,0,0,0
46,0.0,1.0,1.0
47,0.0,0.0,1.0
48,0,1,1
49,0.0,0.0,1.0
50,0.0,1.0,1.0
51,0,1,0
52,1.0,1.0,1.0
53,1.0,0.0,1.0
54,0,1,1
55,0.0,1.0,1.0
56,0.0,0.0,1.0
57,0,0,1
58,1.0,1.0,1.0
59,0.0,1.0,1.0
60,0,1,1
61,0.0,0.0,0.0
62,0.0,0.0,1.0
63,0,1,1
64,0.0,1.0,1.0
65,1.0,1.0,1.0
66,0,1,1
67,0.0,1.0,1.0
68,1.0,1.0,1.0
69,0,0,1
70,0.0,1.0,1.0
71,0.0,1.0,1.0
72,0,1,1
73,1.0,0.0,1.0
74,0.0,1.0,1.0
75,1,1,1
76,0.0,1.0,0.0
77,1.0,0.0,1.0
78,0,1,1
79,0.0,1.0,1.0
80,1.0,1.0,0.0
81,0,1,1
82,0.0,0.0,1.0
83,0.0,0.0,1.0
84,0,0,1
85,0.0,1.0,1.0
86,0.0,1.0,1.0
87,0,1,1
88,1.0,0.0,1.0
89,0.0,0.0,0.0
90,0,0,1
91,0.0,0.0,1.0
92,0.0,0.0,1.0
93,0,1,1
94,1.0,0.0,1.0
95,1.0,0.0,0.0
96,0,0,1
97,0.0,1.0,1.0
98,0.0,0.0,1.0
99,0,1,1
100,0.0,1.0,1.0
101,0.0,1.0,1.0
102,0,1,0
103,0.0,1.0,1.0
104,1.0,0.0,0.0
105,0,1,1
106,0.0,0.0,1.0
107,0.0,0.0,1.0
108,0,0,1
109,0.0,0.0,1.0
110,0.0,0.0,1.0
111,0,0,1
112,1.0,0.0,0.0
113,0.0,0.0,1.0
114,0,0,1
115,1.0,0.0,1.0
116,0.0,1.0,1.0
117,0,0,1
118,0.0,1.0,1.0
119,0.0,1.0,1.0
120,0,0,1
121,0.0,0.0,0.0
122,1.0,1.0,1.0
123,0,1,1
124,1.0,1.0,1.0
125,0.0,1.0,0.0
126,0,0,0
127,0.0,0.0,1.0
128,0.0,1.0,1.0
129,0,1,1
130,1.0,0.0,1.0
131,1.0,1.0,1.0
132,0,0,1
133,0.0,0.0,1.0
134,0.0,1.0,1.0
135,0,0,1
136,0.0,1.0,0.0
137,0.0,0.0,1.0
138,0,0,1
139,1.0,0.0,1.0
140,0.0,0.0,1.0
141,0,0,1
142,0.0,1.0,1.0
143,1.0,1.0,1.0
144,1,1,1
145,0.0,0.0,0.0
146,1.0,1.0,1.0
147,0,1,1
148,0.0,1.0,1.0
149,0.0,1.0,1.0
150,0,1,1
151,0.0,0.0,1.0
152,0.0,0.0,1.0
153,0,0,1
154,0.0,1.0,1.0
155,0.0,0.0,1.0
156,0,1,1
157,0.0,1.0,1.0
158,0.0,1.0,1.0
159,0,1,0
160,1.0,1.0,1.0
161,0.0,0.0,0.0
162,0,1,1
163,1.0,0.0,1.0
164,0.0,0.0,0.0
165,0,0,0
166,0.0,1.0,0.0
167,0.0,1.0,1.0
168,0,1,1
169,0.0,1.0,0.0
170,1.0,1.0,0.0
171,0,1,0
172,0.0,1.0,1.0
173,1.0,1.0,1.0
174,0,0,1
175,0.0,1.0,0.0
176,1.0,1.0,1.0
177,0,1,1
178,0.0,1.0,1.0
179,0.0,1.0,1.0
180,1,0,1
181,0.0,1.0,1.0
182,0.0,0.0,1.0
183,0,0,1
184,0.0,1.0,1.0
185,1.0,1.0,1.0
186,0,0,1
187,1.0,1.0,1.0
188,0.0,1.0,1.0
189,0,1,1
190,0.0,1.0,1.0
191,0.0,1.0,1.0
192,0,1,1
193,0.0,1.0,1.0
194,0.0,1.0,0.0
195,0,1,0
196,0.0,1.0,1.0
197,0.0,0.0,0.0
198,0,1,0
199,0.0,1.0,1.0
200,0.0,0.0,1.0
201,0,1,1
202,1.0,0.0,0.0
203,1.0,0.0,1.0
204,0,1,1
205,1.0,0.0,1.0
