Unnamed: 0,A1,A2,A3
0,0,1,1
1,0.0,1.0,1.0
2,0,0,1
3,0.0,0.0,1.0
4,0,1,1
5,0.0,0.0,0.0
6,0,1,1
7,0.0,1.0,1.0
8,0,0,0
9,0.0,0.0,1.0
10,0,0,0
11,1.0,1.0,1.0
12,0,1,1
13,0.0,0.0,1.0
14,1,1,1
15,0.0,0.0,1.0
16,0,0,0
17,0.0,0.0,1.0
18,0,0,1
19,0.0,0.0,1.0
20,0,0,0
21,0.0,0.0,1.0
22,0,0,1
23,0.0,0.0,1.0
24,0,1,1
25,0.0,1.0,1.0
26,1,1,1
27,0.0,0.0,0.0
28,0,0,1
29,0.0,1.0,1.0
30,0,1,1
31,0.0,0.0,1.0
32,0,0,1
33,0.0,0.0,0.0
34,1,1,0
35,0.0,1.0,1.0
36,0,0,1
37,0.0,0.0,0.0
38,0,1,1
39,1.0,1.0,1.0
40,0,0,1
41,0.0,1.0,1.0
42,0,0,1
43,0.0,0.0,0.0
44,0,0,0
45,0.0,0.0,0.0
46,0,1,1
47,0.0,1.0,1.0
48,0,0,1
49,0.0,0.0,1.0
50,0,0,0
51,1.0,1.0,1.0
52,0,0,1
53,0.0,0.0,0.0
54,0,1,1
55,0.0,1.0,1.0
56,0,1,1
57,0.0,0.0,1.0
58,1,0,1
59,0.0,1.0,1.0
60,1,1,1
61,0.0,0.0,1.0
62,0,0,1
63,0.0,0.0,0.0
64,0,1,0
65,0.0,1.0,1.0
66,0,1,1
67,0.0,0.0,1.0
68,0,1,0
69,0.0,0.0,1.0
70,0,1,1
71,0.0,1.0,1.0
72,0,1,1
73,0.0,1.0,1.0
74,1,0,1
75,0.0,1.0,1.0
76,0,0,0
77,0.0,0.0,1.0
78,0,0,0
79,0.0,0.0,1.0
80,0,1,0
81,0.0,0.0,1.0
82,0,0,0
83,0.0,0.0,1.0
84,0,0,1
85,0.0,1.0,0.0
86,1,1,0
87,0.0,0.0,0.0
88,0,0,0
89,0.0,0.0,0.0
90,0,1,1
91,0.0,0.0,1.0
92,1,1,1
93,0.0,1.0,1.0
94,0,0,1
95,1.0,1.0,1.0
96,0,1,1
97,0.0,1.0,1.0
98,0,1,1
99,0.0,0.0,0.0
100,0,1,1
101,0.0,0.0,1.0
102,0,0,0
103,0.0,0.0,0.0
104,1,0,1
105,0.0,1.0,1.0
106,0,0,1
107,1.0,0.0,0.0
108,0,1,1
109,0.0,1.0,1.0
110,0,1,1
111,0.0,1.0,1.0
112,0,1,1
113,0.0,0.0,0.0
114,0,0,0
115,0.0,0.0,1.0
116,0,1,1
117,1.0,1.0,1.0
118,0,1,1
119,0.0,1.0,1.0
120,0,1,1
121,0.0,0.0,1.0
122,0,0,1
123,0.0,1.0,1.0
124,0,1,0
125,0.0,1.0,1.0
126,0,0,1
127,0.0,0.0,1.0
128,0,0,0
129,0.0,0.0,1.0
130,0,0,1
131,0.0,0.0,1.0
132,0,0,1
133,1.0,1.0,1.0
134,0,1,1
135,0.0,1.0,1.0
136,0,1,1
137,0.0,0.0,1.0
138,0,0,1
139,0.0,0.0,1.0
140,1,1,1
141,0.0,0.0,1.0
142,0,1,1
143,0.0,1.0,1.0
144,0,1,1
145,1.0,1.0,1.0
146,0,0,1
147,0.0,0.0,1.0
148,0,1,0
149,0.0,1.0,0.0
150,0,1,1
151,0.0,1.0,1.0
152,0,1,1
153,0.0,0.0,1.0
154,0,1,1
155,0.0,0.0,0.0
156,0,0,1
157,0.0,0.0,1.0
158,0,0,1
159,1.0,0.0,1.0
160,0,0,0
161,0.0,0.0,1.0
162,0,1,1
163,0.0,0.0,1.0
164,0,1,1
165,0.0,0.0,1.0
166,0,1,1
167,0.0,1.0,1.0
168,0,0,0
169,1.0,1.0,1.0
170,0,0,1
171,0.0,0.0,1.0
172,0,1,1
173,0.0,0.0,1.0
174,0,1,0
175,0.0,1.0,1.0
176,0,1,1
177,0.0,1.0,1.0
178,0,0,1
179,1.0,1.0,1.0
180,0,0,1
181,0.0,0.0,1.0
182,0,1,0
183,0.0,0.0,1.0
184,0,0,0
185,0.0,0.0,1.0
186,0,0,1
187,0.0,1.0,0.0
188,0,1,0
189,0.0,0.0,0.0
190,0,0,1
191,0.0,1.0,1.0
192,0,1,1
193,1.0,0.0,1.0
194,0,0,1
195,1.0,0.0,1.0
196,0,1,1
197,0.0,0.0,1.0
198,0,0,1
199,0.0,0.0,1.0
200,0,1,1
201,0.0,0.0,1.0
202,0,1,1
