"","A1","A2","A3"
"ID1",0,0,1
"ID2",1,0,0
"ID3",0,0,1
"ID4",1,1,1
"ID5",0,1,1
"ID6",0,0,1
"ID7",0,1,1
"ID8",0,0,1
"ID9",0,1,1
"ID10",1,1,1
"ID11",0,0,1
"ID12",1,0,1
"ID13",0,0,0
"ID14",0,0,1
"ID15",0,0,0
"ID16",0,1,1
"ID17",0,1,1
"ID18",1,1,1
"ID19",0,1,0
"ID20",1,0,1
"ID21",1,1,1
"ID22",0,1,1
"ID23",0,0,1
"ID24",0,1,1
"ID25",0,1,1
"ID26",0,0,1
"ID27",0,0,1
"ID28",0,0,0
"ID29",1,0,1
"ID30",0,0,1
"ID31",0,1,1
"ID32",0,1,1
"ID33",0,0,1
"ID34",1,1,1
"ID35",0,0,1
"ID36",0,0,1
"ID37",0,1,1
"ID38",0,1,1
"ID39",0,0,1
"ID40",0,1,1
"ID41",1,1,1
"ID42",0,1,1
"ID43",0,1,1
"ID44",0,1,1
"ID45",0,0,0
"ID46",0,1,1
"ID47",0,1,1
"ID48",0,1,0
"ID49",0,1,0
"ID50",0,0,1
"ID51",0,0,1
"ID52",0,1,1
"ID53",0,1,1
"ID54",1,1,1
"ID55",0,0,1
"ID56",0,0,1
"ID57",0,0,0
"ID58",0,1,1
"ID59",0,1,1
"ID60",1,1,1
"ID61",0,1,1
"ID62",0,0,1
"ID63",0,1,1
"ID64",0,1,1
"ID65",1,1,1
"ID66",0,0,1
"ID67",1,1,1
"ID68",0,0,0
"ID69",0,1,1
"ID70",0,1,1
"ID71",0,1,1
"ID72",0,0,1
"ID73",0,0,0
"ID74",0,0,0
"ID75",0,1,1
"ID76",0,0,1
"ID77",0,1,1
"ID78",0,1,1
"ID79",0,1,1
"ID80",0,1,1
"ID81",1,1,1
"ID82",0,1,0
"ID83",1,1,1
"ID84",0,1,1
"ID85",0,1,1
"ID86",0,1,1
"ID87",0,0,1
"ID88",0,1,1
"ID89",0,0,0
"ID90",0,1,1
"ID91",0,0,1
"ID92",0,0,1
"ID93",0,0,0
"ID94",1,1,1
"ID95",0,0,1
"ID96",0,1,1
"ID97",0,1,1
"ID98",0,1,1
"ID99",0,0,1
"ID100",1,1,1
"ID101",0,0,1
"ID102",0,0,1
"ID103",0,1,1
"ID104",0,0,0
"ID105",0,0,1
"ID106",0,0,1
"ID107",0,1,1
"ID108",0,0,1
"ID109",0,1,1
"ID110",0,0,1
"ID111",0,0,0
"ID112",0,0,1
"ID113",0,0,1
"ID114",0,0,1
"ID115",0,1,1
"ID116",0,1,1
"ID117",0,0,1
"ID118",0,1,1
"ID119",0,1,1
"ID120",0,0,0
"ID121",0,1,1
"ID122",0,0,1
"ID123",1,0,1
"ID124",0,0,1
"ID125",0,1,1
"ID126",1,1,1
"ID127",0,0,1
"ID128",0,1,0
"ID129",0,0,1
"ID130",0,1,1
"ID131",0,0,1
"ID132",0,0,1
"ID133",0,0,1
"ID134",0,0,0
"ID135",0,1,1
"ID136",0,1,1
"ID137",0,1,1
"ID138",0,0,1
"ID139",0,1,1
"ID140",0,0,1
