"","P(0)","1-P(1)"
"Item1",0.077,0.0762
"Item2",0.0393,0.0963
"Item3",0.0222,0.149
"Item4",0.0309,0.1405
"Item5",0.0892,0.1177
"Item6",0.1038,0.0883
"Item7",0.0503,0.0873
"Item8",0.006,0.0618
"Item9",0.0124,0.0512
"Item10",0.1094,0.0952
"Item11",0.1235,0.1252
"Item12",0.0125,8e-04
"Item13",0.1403,0.0458
"Item14",0.0507,0.046
"Item15",0.079,0.1487
"Item16",0.0745,0.0644
"Item17",0.0654,0.0078
"Item18",0.1245,0.1218
"Item19",0.0805,0.1259
"Item20",0.0106,0.0359
"Item21",0.0715,0.1348
"Item22",0.0636,0.036
"Item23",0.1471,0.1075
"Item24",0.1071,0.0054
"Item25",0.1225,0.0873
"Item26",0.1077,0.1355
"Item27",0.1353,0.0575
"Item28",0.0127,0.1135
"Item29",0.044,0.0773
"Item30",0.0286,0.1329
