,0,1,2
0,0.0,1.0,1.0
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,0.0,1.0,1.0
4,0.0,1.0,1.0
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,0.0,1.0,1.0
8,1.0,1.0,1.0
9,1.0,1.0,1.0
10,1.0,0.0,1.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,1.0,1.0
14,0.0,1.0,1.0
15,0.0,0.0,1.0
16,0.0,1.0,1.0
17,1.0,1.0,1.0
18,1.0,1.0,1.0
19,0.0,0.0,1.0
20,1.0,0.0,1.0
21,1.0,1.0,1.0
22,0.0,1.0,1.0
23,0.0,1.0,1.0
24,1.0,1.0,1.0
25,0.0,0.0,1.0
26,1.0,0.0,1.0
27,0.0,0.0,1.0
28,0.0,1.0,1.0
29,1.0,0.0,1.0
30,1.0,1.0,1.0
31,0.0,1.0,1.0
32,0.0,0.0,1.0
33,1.0,1.0,1.0
34,1.0,1.0,1.0
35,0.0,1.0,1.0
36,1.0,1.0,1.0
37,0.0,0.0,1.0
38,1.0,0.0,0.0
39,1.0,1.0,1.0
40,0.0,1.0,1.0
41,1.0,1.0,1.0
42,0.0,1.0,1.0
43,1.0,1.0,1.0
44,0.0,1.0,1.0
45,0.0,0.0,0.0
46,1.0,1.0,0.0
47,0.0,0.0,1.0
48,1.0,1.0,1.0
49,1.0,0.0,1.0
50,1.0,1.0,1.0
51,0.0,1.0,1.0
52,0.0,0.0,1.0
53,0.0,1.0,1.0
54,0.0,1.0,0.0
55,0.0,0.0,1.0
56,0.0,0.0,1.0
57,1.0,1.0,1.0
58,0.0,0.0,1.0
59,0.0,1.0,1.0
60,0.0,1.0,1.0
61,0.0,1.0,1.0
62,0.0,1.0,1.0
63,0.0,1.0,1.0
64,1.0,1.0,1.0
65,1.0,1.0,1.0
66,1.0,1.0,1.0
67,1.0,0.0,1.0
68,0.0,1.0,1.0
69,0.0,1.0,1.0
70,1.0,1.0,1.0
71,1.0,1.0,1.0
72,1.0,1.0,1.0
73,1.0,1.0,1.0
74,0.0,1.0,1.0
75,0.0,0.0,1.0
76,0.0,1.0,1.0
77,1.0,1.0,1.0
78,0.0,1.0,1.0
79,1.0,1.0,1.0
80,1.0,1.0,1.0
81,1.0,1.0,1.0
82,0.0,0.0,1.0
83,0.0,1.0,1.0
84,0.0,1.0,1.0
85,0.0,1.0,0.0
86,1.0,1.0,1.0
87,1.0,1.0,1.0
88,0.0,1.0,0.0
89,0.0,1.0,1.0
90,0.0,1.0,0.0
91,0.0,0.0,1.0
92,0.0,0.0,1.0
93,0.0,1.0,1.0
94,1.0,1.0,1.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,1.0,1.0
98,0.0,1.0,1.0
99,0.0,0.0,1.0
