"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
"ID1",0,0,0,0,1,1,1,1,1,1
"ID2",1,0,1,1,1,0,1,1,1,1
"ID3",1,0,1,1,0,1,0,1,1,1
"ID4",1,0,0,0,0,0,0,0,1,0
"ID5",1,0,0,0,0,1,0,0,1,0
"ID6",0,0,0,0,0,0,0,0,0,0
"ID7",0,0,0,0,0,0,0,0,0,1
"ID8",0,0,1,1,0,1,1,1,0,1
"ID9",0,0,1,1,1,1,1,0,1,1
"ID10",0,0,1,1,1,1,1,0,1,1
"ID11",0,1,0,0,1,0,0,1,1,1
"ID12",0,0,0,0,1,0,1,1,0,1
"ID13",0,1,0,1,1,1,1,1,1,1
"ID14",1,1,1,1,1,1,1,1,1,1
"ID15",0,1,1,1,1,1,1,0,1,1
"ID16",0,0,1,1,1,0,1,0,0,1
"ID17",0,1,1,0,1,1,1,1,1,0
"ID18",1,1,1,1,1,0,1,1,1,0
"ID19",1,0,0,1,1,1,1,1,1,0
"ID20",1,1,1,1,1,1,0,1,1,1
"ID21",1,0,0,1,0,0,1,0,0,0
"ID22",0,0,0,1,0,1,0,1,0,1
"ID23",0,0,1,0,1,0,1,0,1,1
"ID24",1,1,1,1,1,0,1,1,1,1
"ID25",0,0,0,0,0,0,1,0,0,0
"ID26",0,0,1,1,0,1,0,1,1,0
"ID27",0,0,1,1,1,0,1,0,1,1
"ID28",0,1,1,0,1,1,0,1,1,1
"ID29",0,0,0,0,1,0,1,0,0,0
"ID30",1,0,1,0,1,1,0,0,1,1
"ID31",0,0,1,0,0,0,1,0,1,1
"ID32",0,0,0,1,0,0,1,0,1,0
"ID33",0,1,1,1,0,0,1,1,1,0
"ID34",1,0,1,1,0,0,1,0,0,1
"ID35",0,1,0,1,0,0,0,1,1,1
"ID36",0,0,1,0,1,0,0,0,0,1
"ID37",0,1,1,1,1,0,1,1,1,1
"ID38",0,1,1,1,0,1,1,0,0,1
"ID39",0,0,1,0,1,0,1,1,0,1
"ID40",0,0,1,1,0,0,0,0,0,1
"ID41",0,0,1,0,0,1,1,1,0,0
"ID42",0,0,1,0,0,1,1,1,0,1
"ID43",0,0,1,0,1,0,1,0,1,1
"ID44",1,1,1,0,1,0,1,1,1,1
"ID45",0,0,0,0,0,0,0,0,1,0
"ID46",1,1,0,1,0,1,1,1,1,1
"ID47",1,0,1,0,0,1,1,0,0,1
"ID48",0,0,0,0,0,1,0,1,0,0
"ID49",0,1,1,1,0,0,1,0,0,1
"ID50",0,0,1,1,0,0,1,0,0,1
"ID51",0,1,1,1,1,0,1,1,0,1
"ID52",1,1,0,0,0,0,1,1,0,1
"ID53",0,1,1,1,1,1,0,0,1,1
"ID54",0,1,0,0,1,1,1,1,1,1
"ID55",0,1,1,1,0,1,1,1,1,1
"ID56",1,0,0,1,1,0,1,0,0,0
"ID57",1,0,1,0,0,0,1,0,0,1
"ID58",0,0,0,0,0,0,1,1,0,1
"ID59",0,1,1,0,1,1,1,1,1,1
"ID60",0,0,0,1,1,1,1,0,0,1
"ID61",0,1,0,1,0,1,1,1,0,1
"ID62",1,0,0,0,0,0,1,0,0,0
"ID63",0,0,0,0,0,0,1,0,1,0
"ID64",0,0,1,1,1,1,1,1,1,1
"ID65",0,0,0,1,0,0,1,0,1,0
"ID66",0,0,1,1,1,1,0,0,0,1
"ID67",0,1,1,1,1,1,0,1,1,0
"ID68",1,0,0,0,0,1,0,0,0,1
"ID69",1,0,1,0,1,1,0,0,1,0
"ID70",1,1,1,1,1,0,1,1,1,1
"ID71",1,0,1,0,1,1,1,0,1,0
"ID72",1,1,1,0,0,1,1,1,1,1
"ID73",1,0,1,0,0,0,1,0,0,0
"ID74",1,0,1,0,0,1,1,0,0,1
"ID75",1,1,1,0,1,0,1,1,0,1
"ID76",0,0,1,1,0,1,1,1,1,1
"ID77",0,1,0,0,1,0,1,1,1,0
"ID78",1,1,1,0,1,1,0,1,0,0
"ID79",0,0,1,0,0,0,1,1,0,0
"ID80",1,1,1,0,1,1,1,1,1,1
"ID81",1,0,1,1,1,0,1,0,1,1
"ID82",0,0,1,0,1,0,0,1,0,0
"ID83",0,1,1,1,1,1,0,0,1,1
"ID84",1,1,0,0,1,1,0,0,0,1
"ID85",0,1,1,1,1,0,1,1,0,1
"ID86",1,1,1,1,1,1,1,1,1,0
"ID87",0,0,1,0,1,1,1,1,1,1
"ID88",0,0,1,0,1,0,1,0,1,1
"ID89",1,0,0,1,0,0,0,0,1,1
"ID90",1,0,1,0,1,0,1,1,1,0
"ID91",1,1,1,0,0,1,1,1,1,0
"ID92",0,1,0,0,0,0,0,1,1,1
"ID93",0,0,0,0,0,1,1,1,1,0
"ID94",1,1,1,1,1,1,1,1,1,0
"ID95",1,1,1,0,0,1,0,0,0,0
"ID96",0,1,1,0,1,1,1,1,1,1
"ID97",0,0,0,0,1,1,1,1,0,0
"ID98",0,1,1,1,1,1,1,0,1,1
"ID99",0,0,1,1,1,0,1,0,1,0
"ID100",0,0,1,0,1,0,1,0,1,1
"ID101",0,0,1,1,1,1,1,0,1,1
"ID102",0,1,1,0,1,1,1,1,1,1
"ID103",1,0,1,1,0,0,0,1,0,1
"ID104",0,0,0,0,0,0,0,0,0,0
"ID105",1,0,1,1,1,1,1,1,1,0
"ID106",1,1,1,1,0,0,1,1,0,1
"ID107",0,0,1,0,1,0,1,0,0,0
"ID108",0,1,1,0,1,1,1,1,1,1
"ID109",1,0,1,0,0,1,1,1,0,1
"ID110",0,1,1,1,1,0,1,1,1,1
"ID111",0,0,1,1,1,0,0,1,0,1
"ID112",1,0,1,0,1,0,1,1,0,1
"ID113",0,0,1,0,0,1,0,1,1,1
"ID114",0,0,1,0,0,0,1,0,0,1
"ID115",1,0,1,0,1,1,1,0,1,1
