"","P(0)","1-P(1)"
"Item1",0.083,0.0729
"Item2",0.0096,0.0066
"Item3",0.0209,0.1327
"Item4",0.0265,0.1472
"Item5",0.0731,0.1369
"Item6",0.0453,0.145
"Item7",0.1243,0.0583
"Item8",0.1008,0.068
"Item9",0.0051,0.0949
"Item10",0.0483,0.0791
"Item11",0.14,0.03
"Item12",0.0398,0.1162
"Item13",0.1109,0.0361
"Item14",0.0718,0.0966
"Item15",0.0114,0.0487
"Item16",0.004,0.112
"Item17",0.0081,0.1482
"Item18",0.0722,0.1361
"Item19",0.0199,0.1334
"Item20",0.0643,0.0083
"Item21",0.0115,0.1078
"Item22",0.0191,0.0798
"Item23",0.0903,0.077
"Item24",0.0704,0.011
"Item25",0.0218,0.0247
"Item26",0.0772,0.1421
"Item27",0.0425,0.0626
"Item28",0.0137,0.1258
"Item29",0.1358,0.1443
"Item30",0.0857,0.0021
