"","A1","A2","A3","A4","A5"
"ID1",0,0,0,1,0
"ID2",0,0,1,1,1
"ID3",0,1,0,1,1
"ID4",1,0,1,1,1
"ID5",1,0,1,1,1
"ID6",0,0,1,1,1
"ID7",1,1,1,1,1
"ID8",1,0,0,1,1
"ID9",0,1,1,1,1
"ID10",1,1,1,1,1
"ID11",0,0,0,1,1
"ID12",0,0,0,0,1
"ID13",0,0,1,1,1
"ID14",1,1,0,1,1
"ID15",0,0,1,1,1
"ID16",0,1,0,0,1
"ID17",1,1,1,1,1
"ID18",0,1,1,1,1
"ID19",0,1,1,1,1
"ID20",0,0,0,1,0
"ID21",0,0,0,1,1
"ID22",0,0,0,1,1
"ID23",0,0,0,1,1
"ID24",0,1,0,1,1
"ID25",0,1,0,1,1
"ID26",0,0,0,1,1
"ID27",0,1,0,1,1
"ID28",0,1,1,0,1
"ID29",0,0,1,0,1
"ID30",0,1,1,0,0
"ID31",0,1,1,1,1
"ID32",1,1,1,1,1
"ID33",0,1,1,1,1
"ID34",0,1,0,1,1
"ID35",1,1,0,1,1
"ID36",0,1,1,1,1
"ID37",0,0,0,1,1
"ID38",0,0,0,1,1
"ID39",0,1,0,1,1
"ID40",0,0,1,1,1
"ID41",1,0,0,1,1
"ID42",0,0,0,0,0
"ID43",1,0,0,0,1
"ID44",0,0,1,1,1
"ID45",0,0,1,1,0
"ID46",0,0,0,1,1
"ID47",0,0,0,1,0
"ID48",0,0,0,0,1
"ID49",0,0,1,0,0
"ID50",0,1,0,0,1
