"","A1","A2","A3","A4","A5"
"ID1",1,0,0,1,1
"ID2",0,1,1,1,1
"ID3",0,1,0,1,1
"ID4",0,0,1,1,1
"ID5",0,0,1,1,1
"ID6",0,0,0,1,1
"ID7",0,0,0,0,1
"ID8",0,0,0,0,1
"ID9",0,1,1,0,0
"ID10",0,0,0,0,0
"ID11",0,0,0,0,1
"ID12",0,0,1,1,1
"ID13",0,0,1,1,1
"ID14",0,0,1,1,1
"ID15",0,1,1,0,1
"ID16",0,0,1,0,1
"ID17",0,0,1,0,1
"ID18",0,0,0,0,1
"ID19",0,0,0,1,1
"ID20",0,0,0,0,0
"ID21",0,0,0,1,0
"ID22",0,1,0,0,1
"ID23",1,0,1,1,1
"ID24",0,1,1,0,1
"ID25",1,1,0,1,1
"ID26",0,0,1,1,1
"ID27",0,0,1,0,1
"ID28",0,1,1,0,1
"ID29",0,0,1,1,0
"ID30",0,1,1,1,1
"ID31",0,1,1,1,1
"ID32",0,0,0,0,0
"ID33",0,1,0,1,1
"ID34",0,0,0,1,1
"ID35",0,0,0,0,1
"ID36",0,0,0,1,1
"ID37",1,0,0,0,1
"ID38",0,0,1,0,0
"ID39",0,0,0,0,1
"ID40",0,0,0,0,1
"ID41",0,0,0,1,1
"ID42",0,0,0,0,1
"ID43",0,0,1,1,1
"ID44",0,1,0,0,1
"ID45",0,0,1,0,1
"ID46",0,0,1,1,0
"ID47",0,0,0,1,1
"ID48",0,0,0,0,1
"ID49",1,0,0,0,1
"ID50",0,0,1,1,1
"ID51",0,0,0,0,1
"ID52",0,1,1,1,1
"ID53",0,0,0,1,1
"ID54",0,0,0,1,1
"ID55",0,0,0,1,1
"ID56",1,0,1,1,0
"ID57",0,0,1,1,1
"ID58",0,0,0,0,1
"ID59",0,0,1,0,1
"ID60",0,0,1,1,1
"ID61",0,0,0,0,1
"ID62",1,0,0,1,0
"ID63",0,0,1,1,1
"ID64",0,0,0,0,0
"ID65",0,0,1,0,1
"ID66",0,1,0,1,1
"ID67",0,0,0,0,1
"ID68",0,1,0,1,1
"ID69",0,0,1,1,1
"ID70",0,0,0,1,1
"ID71",0,0,0,0,1
"ID72",0,1,1,0,1
"ID73",0,0,1,1,1
"ID74",0,0,0,0,1
"ID75",0,0,0,0,0
"ID76",0,1,0,1,1
"ID77",0,1,1,1,1
"ID78",0,0,1,1,1
"ID79",1,0,0,0,1
"ID80",0,1,0,1,0
"ID81",0,0,1,0,1
"ID82",0,1,1,1,1
"ID83",0,0,0,0,1
"ID84",0,0,0,0,0
"ID85",0,0,1,1,1
"ID86",0,1,0,0,1
"ID87",0,1,1,1,1
"ID88",1,0,0,0,1
"ID89",0,0,0,1,1
"ID90",0,0,0,1,1
"ID91",1,0,0,1,1
"ID92",0,0,1,0,1
"ID93",0,0,1,1,1
"ID94",1,0,1,0,1
"ID95",0,1,0,1,0
"ID96",0,0,0,0,1
"ID97",0,1,0,1,1
"ID98",0,0,0,0,1
"ID99",0,1,1,1,1
"ID100",0,0,1,1,1
"ID101",0,1,0,1,1
"ID102",0,0,1,1,1
"ID103",0,0,1,1,1
"ID104",0,1,0,1,1
"ID105",0,0,0,0,1
"ID106",1,0,1,1,1
"ID107",0,0,0,0,0
"ID108",0,0,1,1,1
"ID109",0,0,0,1,1
"ID110",0,0,0,1,1
"ID111",0,0,1,1,1
"ID112",0,0,1,1,1
"ID113",0,0,1,1,1
"ID114",0,0,0,0,1
"ID115",0,1,1,1,1
"ID116",0,0,1,0,1
"ID117",0,0,1,1,1
"ID118",0,0,0,1,1
"ID119",0,0,0,0,1
"ID120",0,0,1,1,1
"ID121",0,0,1,1,1
"ID122",0,1,0,0,0
"ID123",1,1,1,1,1
"ID124",0,1,0,0,0
"ID125",0,1,1,1,1
"ID126",0,1,0,1,1
"ID127",0,1,1,1,1
"ID128",0,0,1,1,1
"ID129",0,1,1,1,1
"ID130",0,0,0,1,1
"ID131",0,1,0,1,1
"ID132",0,1,0,1,1
"ID133",1,0,1,1,1
"ID134",0,0,0,1,1
"ID135",0,1,0,1,1
"ID136",0,1,0,1,1
"ID137",0,0,1,1,1
"ID138",0,0,0,0,0
"ID139",0,1,0,1,1
"ID140",0,0,1,1,1
"ID141",0,1,1,1,1
"ID142",1,0,0,1,1
"ID143",0,0,1,1,1
"ID144",0,1,0,1,1
"ID145",0,0,0,0,1
"ID146",0,0,1,1,1
"ID147",0,1,0,1,1
"ID148",0,0,0,1,1
"ID149",0,0,0,1,1
"ID150",0,1,0,0,1
"ID151",1,1,0,1,1
"ID152",0,0,1,1,1
"ID153",0,0,0,1,1
"ID154",0,1,0,1,1
"ID155",0,1,1,1,1
"ID156",1,1,0,1,1
"ID157",0,1,1,1,1
"ID158",0,1,1,1,1
"ID159",0,0,1,0,1
"ID160",0,0,0,0,1
"ID161",0,0,1,1,1
"ID162",1,1,1,0,1
"ID163",0,0,0,0,1
"ID164",0,0,0,0,1
"ID165",0,1,0,1,1
"ID166",1,0,0,1,1
"ID167",1,1,1,1,1
"ID168",1,0,0,1,1
"ID169",0,1,1,1,1
"ID170",1,0,1,1,1
"ID171",0,0,0,0,0
"ID172",1,0,0,1,1
"ID173",0,0,0,1,1
"ID174",0,0,0,1,1
"ID175",0,0,1,1,1
"ID176",1,0,0,1,1
"ID177",0,0,0,0,1
"ID178",0,0,0,1,0
"ID179",0,1,0,0,0
"ID180",0,0,1,1,1
"ID181",0,0,0,0,1
"ID182",1,0,0,1,1
"ID183",1,0,1,1,1
"ID184",0,0,1,1,0
"ID185",0,0,1,0,1
"ID186",0,0,0,1,1
"ID187",0,1,1,1,1
"ID188",0,0,0,0,1
"ID189",0,0,0,1,1
"ID190",0,0,0,1,1
"ID191",0,0,1,1,1
"ID192",0,1,1,0,1
"ID193",1,1,1,1,1
"ID194",1,1,0,1,1
"ID195",0,0,0,1,1
"ID196",0,0,0,0,1
"ID197",0,1,1,0,1
"ID198",0,0,0,1,1
