Unnamed: 0,A1,A2,A3
0,0,1,1
1,0.0,0.0,0.0
2,0.0,1.0,1.0
3,0,1,1
4,0.0,0.0,1.0
5,0.0,1.0,1.0
6,0,1,1
7,0.0,1.0,1.0
8,1.0,1.0,1.0
9,0,1,1
10,0.0,1.0,0.0
11,0.0,0.0,1.0
12,0,1,1
13,1.0,1.0,1.0
14,0.0,0.0,0.0
15,0,1,1
16,0.0,1.0,1.0
17,0.0,0.0,1.0
18,0,0,0
19,0.0,1.0,1.0
20,0.0,1.0,1.0
21,1,0,1
22,0.0,1.0,0.0
23,0.0,0.0,0.0
24,0,0,0
25,0.0,0.0,0.0
26,0.0,0.0,1.0
27,0,0,1
28,0.0,1.0,1.0
29,0.0,1.0,1.0
30,0,1,1
31,0.0,0.0,1.0
32,0.0,1.0,1.0
33,0,0,1
34,0.0,0.0,1.0
35,1.0,0.0,1.0
36,0,1,0
37,1.0,1.0,1.0
38,1.0,1.0,1.0
39,1,0,1
40,0.0,0.0,1.0
41,0.0,0.0,1.0
42,0,1,1
43,0.0,0.0,1.0
44,0.0,1.0,1.0
45,1,1,1
46,1.0,1.0,1.0
47,0.0,1.0,1.0
48,0,1,0
49,0.0,0.0,1.0
