Unnamed: 0,A1,A2,A3,A4,A5
0,0,0,1,1,1
1,1.0,0.0,0.0,1.0,1.0
2,0.0,1.0,0.0,0.0,0.0
3,0,0,1,1,1
4,1.0,0.0,0.0,0.0,0.0
5,1.0,1.0,1.0,1.0,1.0
6,0,1,0,0,1
7,0.0,1.0,0.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,0,0,1,1,1
10,0.0,1.0,1.0,0.0,0.0
11,0.0,1.0,1.0,1.0,1.0
12,1,1,1,1,1
13,0.0,0.0,0.0,1.0,0.0
14,0.0,1.0,1.0,1.0,0.0
15,0,1,0,0,1
16,0.0,0.0,1.0,1.0,0.0
17,0.0,1.0,1.0,1.0,0.0
18,0,0,1,1,1
19,0.0,0.0,1.0,0.0,0.0
20,0.0,0.0,0.0,0.0,1.0
21,0,0,1,1,1
22,1.0,1.0,1.0,0.0,1.0
23,1.0,0.0,0.0,0.0,1.0
24,0,1,1,1,1
25,1.0,1.0,1.0,1.0,0.0
26,1.0,0.0,0.0,1.0,1.0
27,0,1,0,1,1
28,1.0,1.0,1.0,1.0,0.0
29,1.0,0.0,0.0,1.0,0.0
30,0,0,1,1,1
31,1.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0
33,0,0,1,1,1
34,0.0,1.0,0.0,1.0,1.0
35,1.0,1.0,1.0,1.0,0.0
36,0,0,0,1,1
37,0.0,0.0,0.0,1.0,0.0
38,1.0,1.0,1.0,1.0,1.0
39,0,0,0,1,1
40,0.0,0.0,0.0,0.0,0.0
41,0.0,1.0,1.0,1.0,1.0
42,0,1,0,0,1
43,0.0,0.0,0.0,1.0,1.0
44,1.0,1.0,1.0,1.0,1.0
45,0,0,1,1,1
46,0.0,1.0,0.0,0.0,1.0
47,0.0,1.0,0.0,0.0,1.0
48,0,0,0,0,1
49,0.0,1.0,1.0,1.0,1.0
50,1.0,0.0,0.0,1.0,1.0
51,0,0,1,1,1
52,1.0,1.0,1.0,1.0,1.0
53,1.0,1.0,0.0,1.0,1.0
54,0,0,0,0,0
55,0.0,1.0,0.0,1.0,1.0
56,0.0,0.0,0.0,1.0,0.0
57,0,0,0,1,1
58,0.0,1.0,1.0,0.0,0.0
59,0.0,1.0,0.0,0.0,1.0
60,0,0,0,1,1
61,1.0,1.0,1.0,1.0,1.0
62,0.0,1.0,0.0,1.0,0.0
63,0,0,1,1,1
64,1.0,0.0,0.0,1.0,0.0
65,0.0,0.0,1.0,1.0,0.0
66,0,0,0,0,1
67,0.0,1.0,0.0,1.0,1.0
68,0.0,0.0,0.0,1.0,1.0
69,0,1,0,1,1
70,1.0,0.0,0.0,1.0,1.0
71,1.0,1.0,1.0,1.0,1.0
72,0,0,0,0,1
73,1.0,1.0,0.0,1.0,1.0
74,1.0,0.0,1.0,1.0,1.0
75,0,0,1,0,1
76,0.0,1.0,0.0,1.0,0.0
77,1.0,1.0,0.0,1.0,1.0
78,0,0,0,1,1
79,0.0,1.0,0.0,1.0,0.0
80,0.0,0.0,0.0,1.0,0.0
81,0,0,1,0,1
82,1.0,1.0,1.0,1.0,1.0
83,0.0,1.0,1.0,1.0,1.0
84,0,0,0,1,1
85,0.0,1.0,1.0,0.0,0.0
86,1.0,0.0,0.0,0.0,0.0
87,0,0,1,1,1
88,0.0,0.0,0.0,0.0,0.0
89,0.0,1.0,1.0,1.0,0.0
90,0,0,1,1,0
91,0.0,0.0,0.0,1.0,1.0
92,1.0,1.0,0.0,0.0,0.0
93,0,0,1,1,1
94,1.0,0.0,1.0,1.0,1.0
95,0.0,1.0,1.0,1.0,1.0
96,0,0,1,1,1
97,0.0,1.0,0.0,1.0,1.0
98,0.0,1.0,0.0,1.0,0.0
99,0,0,1,1,1
100,0.0,1.0,1.0,1.0,0.0
101,0.0,1.0,0.0,1.0,1.0
102,0,1,0,1,1
103,0.0,1.0,0.0,1.0,0.0
104,1.0,1.0,1.0,0.0,1.0
105,0,0,0,0,1
106,1.0,0.0,1.0,1.0,0.0
107,1.0,0.0,0.0,1.0,1.0
108,0,0,0,0,1
109,1.0,1.0,0.0,0.0,1.0
110,1.0,1.0,1.0,1.0,1.0
111,0,0,1,1,1
112,0.0,1.0,1.0,1.0,0.0
113,1.0,1.0,1.0,1.0,1.0
114,1,1,1,1,1
115,1.0,1.0,1.0,0.0,1.0
116,0.0,0.0,0.0,1.0,0.0
117,1,0,1,1,1
118,0.0,0.0,1.0,1.0,0.0
119,0.0,1.0,1.0,1.0,0.0
120,0,1,0,1,1
121,1.0,1.0,1.0,1.0,1.0
122,0.0,1.0,0.0,1.0,0.0
123,0,1,0,1,0
124,1.0,1.0,1.0,1.0,0.0
125,1.0,1.0,0.0,1.0,1.0
126,0,0,0,1,1
127,1.0,1.0,1.0,1.0,1.0
128,0.0,0.0,0.0,1.0,0.0
129,0,0,0,0,1
130,1.0,0.0,1.0,1.0,1.0
