Unnamed: 0,A1,A2,A3,A4,A5
0,0,0,1,1,1
1,1.0,0.0,0.0,1.0,1.0
2,0,0,0,1,1
3,0.0,1.0,1.0,1.0,1.0
4,0,0,0,1,0
5,1.0,1.0,1.0,1.0,1.0
6,0,1,0,0,1
7,0.0,1.0,0.0,1.0,1.0
8,1,1,1,1,1
9,0.0,0.0,1.0,1.0,1.0
10,0,1,1,1,1
11,0.0,1.0,1.0,1.0,1.0
12,1,1,1,1,1
13,0.0,0.0,0.0,1.0,0.0
14,0,1,1,1,1
15,1.0,1.0,0.0,1.0,1.0
16,0,1,1,1,1
17,0.0,1.0,1.0,1.0,0.0
18,0,0,1,1,1
19,0.0,0.0,1.0,0.0,0.0
20,0,0,0,1,1
21,0.0,1.0,0.0,1.0,1.0
22,0,1,0,1,1
23,1.0,0.0,0.0,0.0,1.0
24,0,1,1,1,1
25,1.0,1.0,1.0,1.0,0.0
26,1,0,0,1,1
27,0.0,1.0,0.0,1.0,1.0
28,0,1,1,1,1
29,1.0,0.0,0.0,1.0,0.0
30,0,0,1,1,1
31,1.0,0.0,0.0,0.0,0.0
32,0,0,0,1,1
33,0.0,0.0,0.0,0.0,0.0
34,0,0,1,1,1
35,1.0,1.0,1.0,1.0,0.0
36,0,0,0,1,1
37,0.0,0.0,0.0,1.0,0.0
38,1,1,1,1,1
39,0.0,0.0,0.0,0.0,1.0
40,0,0,0,0,1
41,0.0,1.0,1.0,1.0,1.0
42,0,1,0,0,1
43,0.0,0.0,0.0,1.0,1.0
44,1,1,1,0,1
45,1.0,1.0,1.0,1.0,1.0
46,0,0,1,0,1
47,0.0,1.0,0.0,0.0,1.0
48,0,0,0,0,1
49,0.0,1.0,1.0,1.0,1.0
50,0,0,0,1,1
51,1.0,0.0,1.0,1.0,0.0
52,0,1,1,1,1
53,1.0,1.0,0.0,1.0,1.0
54,0,0,0,0,0
55,0.0,1.0,0.0,1.0,1.0
56,0,0,0,0,1
57,0.0,0.0,0.0,1.0,0.0
58,0,1,1,0,0
59,0.0,1.0,0.0,0.0,1.0
60,0,0,0,1,1
61,1.0,1.0,1.0,1.0,1.0
62,0,0,0,1,1
63,0.0,1.0,1.0,1.0,0.0
64,0,0,0,1,1
65,0.0,0.0,1.0,1.0,0.0
66,0,0,0,0,1
67,0.0,1.0,0.0,1.0,1.0
68,0,0,1,0,1
69,0.0,1.0,0.0,0.0,1.0
70,0,0,0,0,1
71,1.0,1.0,1.0,1.0,1.0
72,0,0,0,0,1
73,1.0,1.0,0.0,1.0,1.0
74,0,0,1,0,1
75,0.0,1.0,0.0,0.0,1.0
76,0,0,0,1,1
77,1.0,1.0,0.0,1.0,1.0
78,0,0,0,1,1
79,0.0,1.0,0.0,1.0,0.0
80,0,0,1,0,1
81,0.0,1.0,1.0,0.0,0.0
82,1,1,1,1,1
83,0.0,1.0,1.0,1.0,1.0
84,0,0,0,1,1
85,0.0,1.0,1.0,0.0,0.0
86,1,0,0,0,1
87,0.0,1.0,1.0,1.0,0.0
88,0,0,0,0,1
89,0.0,1.0,1.0,1.0,0.0
90,0,0,1,1,0
91,0.0,0.0,0.0,1.0,1.0
92,1,0,0,0,1
93,0.0,0.0,0.0,1.0,0.0
94,1,0,1,1,1
95,0.0,1.0,1.0,1.0,1.0
96,0,0,1,1,1
97,0.0,1.0,0.0,1.0,1.0
98,0,0,0,1,1
99,1.0,0.0,0.0,1.0,0.0
100,0,0,1,1,1
101,0.0,1.0,0.0,1.0,1.0
102,0,1,0,1,1
103,0.0,1.0,0.0,1.0,0.0
104,1,0,1,1,1
105,0.0,1.0,0.0,1.0,1.0
106,0,0,1,1,1
107,1.0,0.0,0.0,1.0,1.0
108,0,0,0,0,1
109,1.0,1.0,0.0,0.0,1.0
110,0,1,1,1,1
111,0.0,0.0,0.0,1.0,0.0
112,0,1,1,0,0
113,1.0,1.0,1.0,1.0,1.0
114,1,1,1,1,1
115,1.0,1.0,1.0,0.0,1.0
116,0,0,0,1,1
117,1.0,1.0,1.0,1.0,0.0
118,0,0,1,1,1
119,0.0,1.0,1.0,1.0,0.0
120,0,1,0,1,1
121,1.0,1.0,1.0,1.0,1.0
122,0,0,1,1,1
123,0.0,1.0,0.0,0.0,0.0
124,0,1,1,1,1
125,1.0,1.0,0.0,1.0,1.0
126,0,0,0,1,1
127,1.0,1.0,1.0,1.0,1.0
128,0,0,1,0,1
129,0.0,1.0,0.0,1.0,1.0
130,0,0,1,1,1
131,1.0,0.0,1.0,1.0,0.0
132,0,0,0,0,1
133,0.0,1.0,0.0,1.0,1.0
134,0,1,0,1,1
135,1.0,0.0,1.0,1.0,0.0
136,0,1,0,1,1
137,1.0,1.0,1.0,1.0,1.0
138,0,1,1,1,1
139,0.0,1.0,0.0,1.0,1.0
140,1,1,1,1,1
141,0.0,1.0,0.0,0.0,1.0
142,0,0,0,1,1
143,0.0,0.0,1.0,1.0,0.0
