"","A1","A2","A3","A4","A5"
"ID1",0,0,1,1,1
"ID2",1,1,0,1,0
"ID3",0,0,1,0,1
"ID4",0,0,0,1,0
"ID5",1,0,0,1,1
"ID6",0,0,0,1,1
"ID7",0,1,0,1,0
"ID8",0,0,0,1,0
"ID9",0,1,0,1,1
"ID10",0,0,1,0,1
"ID11",0,1,1,0,0
"ID12",0,0,0,1,1
"ID13",0,1,0,1,0
"ID14",0,0,1,1,1
"ID15",0,0,0,1,1
"ID16",0,0,0,1,1
"ID17",0,0,0,1,1
"ID18",0,1,1,1,1
"ID19",0,1,1,0,1
"ID20",0,0,0,0,1
"ID21",0,1,1,1,1
"ID22",0,0,1,1,1
"ID23",0,0,0,0,1
"ID24",0,0,1,0,0
"ID25",1,0,1,1,1
"ID26",0,0,1,0,1
"ID27",0,0,1,0,1
"ID28",1,1,1,1,1
"ID29",0,0,1,0,0
"ID30",0,0,0,1,1
"ID31",0,0,0,0,1
"ID32",0,0,0,1,0
"ID33",0,0,1,1,1
"ID34",0,0,0,1,1
"ID35",0,0,0,0,1
"ID36",0,0,0,1,1
"ID37",0,0,1,0,1
"ID38",0,0,0,1,1
"ID39",1,0,1,1,1
"ID40",0,0,1,1,1
"ID41",0,1,1,1,1
"ID42",0,0,0,1,1
"ID43",0,0,1,0,1
"ID44",0,0,0,0,1
"ID45",0,0,1,0,1
"ID46",0,1,0,1,1
"ID47",0,0,1,1,1
"ID48",0,0,1,1,1
"ID49",0,0,1,1,1
"ID50",0,1,1,1,1
"ID51",0,0,0,0,1
"ID52",0,0,1,1,1
"ID53",0,0,0,0,1
"ID54",1,1,0,0,1
"ID55",1,0,0,1,1
"ID56",0,0,0,1,1
"ID57",0,0,0,1,1
"ID58",1,0,0,0,1
"ID59",0,0,0,0,1
"ID60",0,0,1,1,1
"ID61",0,1,0,1,1
"ID62",0,1,1,1,1
"ID63",0,0,0,1,1
"ID64",0,1,0,1,1
"ID65",1,1,1,1,1
"ID66",0,0,1,1,1
"ID67",0,0,0,1,0
"ID68",0,0,1,0,1
"ID69",0,0,1,0,1
"ID70",1,1,1,1,1
