Unnamed: 0,A1,A2,A3,A4,A5
0,0,0,1,1,1
1,1.0,1.0,0.0,1.0,0.0
2,0,0,1,0,1
3,0.0,0.0,0.0,1.0,0.0
4,1,0,0,1,1
5,0.0,0.0,0.0,1.0,1.0
6,0,1,0,1,0
7,0.0,0.0,0.0,0.0,0.0
8,0,1,0,1,1
9,0.0,0.0,1.0,0.0,1.0
10,0,1,1,0,0
11,0.0,0.0,0.0,1.0,1.0
12,0,1,0,1,0
13,0.0,0.0,1.0,1.0,1.0
14,0,0,0,1,1
15,0.0,0.0,0.0,1.0,1.0
16,0,0,0,1,1
17,0.0,1.0,1.0,1.0,1.0
18,0,1,1,0,1
19,0.0,0.0,0.0,0.0,0.0
20,0,1,1,1,1
21,0.0,0.0,1.0,1.0,1.0
22,0,0,0,0,1
23,0.0,0.0,1.0,0.0,0.0
24,1,0,1,1,1
25,0.0,0.0,1.0,0.0,1.0
26,0,0,1,0,1
27,1.0,1.0,1.0,1.0,1.0
28,0,0,1,0,0
29,0.0,0.0,0.0,1.0,1.0
30,0,0,0,0,1
31,0.0,0.0,0.0,1.0,0.0
32,0,0,1,1,1
33,0.0,0.0,0.0,1.0,1.0
34,0,0,0,0,1
35,0.0,0.0,0.0,1.0,1.0
36,0,0,1,0,1
37,0.0,0.0,0.0,1.0,1.0
38,1,0,1,1,1
39,0.0,0.0,1.0,1.0,1.0
40,0,1,1,1,1
41,0.0,0.0,0.0,1.0,1.0
42,0,0,1,0,1
43,0.0,0.0,0.0,0.0,1.0
44,0,0,1,0,1
45,0.0,1.0,1.0,1.0,1.0
46,0,0,1,1,1
47,0.0,0.0,1.0,1.0,1.0
48,0,0,1,1,1
49,0.0,1.0,1.0,1.0,1.0
50,0,0,0,0,1
51,0.0,0.0,1.0,1.0,1.0
52,0,0,0,0,1
53,1.0,1.0,0.0,0.0,1.0
54,1,0,0,1,1
55,0.0,0.0,0.0,1.0,1.0
56,0,0,0,1,1
57,1.0,0.0,0.0,0.0,1.0
58,0,0,0,0,1
59,0.0,1.0,1.0,1.0,1.0
60,0,1,0,1,1
61,1.0,1.0,1.0,1.0,1.0
62,0,0,0,1,1
63,0.0,1.0,0.0,1.0,1.0
64,1,1,1,1,1
65,0.0,0.0,1.0,1.0,1.0
66,0,0,0,1,0
67,0.0,0.0,1.0,0.0,1.0
68,0,0,1,0,1
69,1.0,1.0,1.0,1.0,1.0
70,1,1,1,0,0
71,0.0,1.0,1.0,0.0,1.0
72,1,0,0,0,1
73,0.0,0.0,0.0,0.0,1.0
74,0,1,1,1,1
75,0.0,0.0,1.0,1.0,0.0
76,0,1,0,0,1
77,0.0,0.0,0.0,0.0,1.0
78,0,0,0,0,1
79,0.0,1.0,1.0,0.0,1.0
80,0,1,1,1,1
